station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
VOTV,2015-01-01 00:10,76.9500,8.4667,77.00,73.40,88.67,0.00,0.00,0.00,29.77,M,1.86,M,SCT,SCT,M,M,1500.00,10000.00,M,M,HZ,M,M,M,M,M,M,78.57,VOTV 010010Z 00000KT 3000 HZ SCT015 SCT100 25/23 Q1008 NOSIG,M
VOTV,2015-01-01 00:40,76.9500,8.4667,77.00,73.40,88.67,0.00,0.00,0.00,29.77,M,1.86,M,SCT,SCT,M,M,1500.00,10000.00,M,M,HZ,M,M,M,M,M,M,78.57,VOTV 010040Z 00000KT 3000 HZ SCT015 SCT100 25/23 Q1008 NOSIG,M
VOTV,2015-01-01 01:10,76.9500,8.4667,77.00,73.40,88.67,0.00,0.00,0.00,29.77,M,1.86,M,SCT,SCT,M,M,1500.00,10000.00,M,M,HZ,M,M,M,M,M,M,78.57,VOTV 010110Z 00000KT 3000 HZ SCT015 SCT100 25/23 Q1008 NOSIG,M
VOTV,2015-01-01 01:40,76.9500,8.4667,77.00,73.40,88.67,0.00,0.00,0.00,29.80,M,1.86,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,78.57,VOTV 010140Z 00000KT 3000 HZ FEW015 25/23 Q1009 NOSIG,M
VOTV,2015-01-01 02:10,76.9500,8.4667,77.00,73.40,88.67,340.00,3.00,0.00,29.80,M,1.86,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,78.57,VOTV 010210Z 34003KT 3000 HZ FEW015 25/23 Q1009 NOSIG,M
VOTV,2015-01-01 02:40,76.9500,8.4667,78.80,73.40,83.55,350.00,3.00,0.00,29.83,M,1.86,M,FEW,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,82.03,VOTV 010240Z 35003KT 3000 HZ FEW015 26/23 Q1010 BECMG 4000 HZ,M
VOTV,2015-01-01 03:10,76.9500,8.4667,80.60,75.20,83.66,350.00,3.00,0.00,29.83,M,2.49,M,SCT,SCT,M,M,1500.00,9000.00,M,M,HZ,M,M,M,M,M,M,86.17,VOTV 010310Z 35003KT 4000 HZ SCT015 SCT090 27/24 Q1010 BECMG 5000 HZ,M
VOTV,2015-01-01 03:40,76.9500,8.4667,82.40,75.20,78.90,340.00,3.00,0.00,29.83,M,2.49,M,SCT,SCT,M,M,1500.00,9000.00,M,M,HZ,M,M,M,M,M,M,89.48,VOTV 010340Z 34003KT 4000 HZ SCT015 SCT090 28/24 Q1010 BECMG 5000 HZ,M
VOTV,2015-01-01 04:40,76.9500,8.4667,84.20,77.00,79.04,270.00,5.00,0.00,29.83,M,3.11,M,SCT,M,M,M,1500.00,M,M,M,HZ,M,M,M,M,M,M,94.16,VOTV 010440Z 27005KT 5000 HZ SCT015 29/25 Q1010 NOSIG,M
VOTV,2015-01-01 05:10,76.9500,8.4667,86.00,77.00,74.61,250.00,5.00,0.00,29.83,M,3.11,M,FEW,FEW,M,M,1500.00,2500.00,M,M,HZ,M,M,M,M,M,M,97.15,VOTV 010510Z 25005KT 5000 HZ FEW015 FEW025TCU 30/25 Q1010 NOSIG,M
VOTV,2015-01-01 05:40,76.9500,8.4667,86.00,77.00,74.61,250.00,7.00,0.00,29.83,M,3.11,M,FEW,FEW,M,M,1500.00,2500.00,M,M,HZ,M,M,M,M,M,M,97.15,VOTV 010540Z 25007KT 5000 HZ FEW015 FEW025TCU 30/25 Q1010 NOSIG,M
VOTV,2015-01-01 06:10,76.9500,8.4667,87.80,77.00,70.45,260.00,5.00,0.00,29.83,M,3.73,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,99.92,VOTV 010610Z 26005KT 6000 FEW015 31/25 Q1010 NOSIG,M
VOTV,2015-01-01 06:40,76.9500,8.4667,87.80,78.80,74.77,240.00,5.00,0.00,29.83,M,3.73,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,102.37,VOTV 010640Z 24005KT 6000 FEW015 31/26 Q1010 NOSIG,M
VOTV,2015-01-01 07:10,76.9500,8.4667,87.80,78.80,74.77,250.00,6.00,0.00,29.80,M,3.73,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,102.37,VOTV 010710Z 25006KT 6000 FEW015 31/26 Q1009 NOSIG,M
VOTV,2015-01-01 07:40,76.9500,8.4667,89.60,78.80,70.63,240.00,5.00,0.00,29.80,M,3.73,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,105.15,VOTV 010740Z 24005KT 6000 FEW015 32/26 Q1009 NOSIG,M
