feature,importance
precipitation,0.208190070443139
precip_roll_3h,0.10579205620279816
precip_roll_6h,0.0892277583304032
wind_direction_cos,0.07007093087010689
wind_direction_sin,0.04381128491116447
cloud_cover,0.04148051257765165
relative_humidity_2m,0.04005121543370248
hour_sin,0.03417776078472004
humidity_roll_3h,0.03402959417179414
wind_speed_10m,0.0321176772023213
temperature_2m,0.02799510871834634
temperature_2m_change_3h,0.026896376659140058
surface_pressure_change_1h,0.02475997697405234
wind_speed_10m_change_1h,0.023974016398692528
surface_pressure_change_3h,0.022931952534241993
relative_humidity_2m_change_3h,0.02269845293612681
month_cos,0.022381419877382024
wind_speed_10m_change_3h,0.021769097668710456
relative_humidity_2m_change_1h,0.021505521407536674
surface_pressure,0.02081509970683561
temperature_2m_change_1h,0.0205447456220309
pressure_roll_3h,0.019573554101195403
hour_cos,0.01422440390793198
month_sin,0.010981412559975525
