station_id,lightning_type,radius_km,granules_checked,granules_with_lightning,total_lightning_records
VOTV,event,25.0,101,0,0
VOTV,group,25.0,101,0,0
VOTV,flash,25.0,101,0,0
VOTV,event,50.0,101,0,0
VOTV,group,50.0,101,0,0
VOTV,flash,50.0,101,0,0
VOTV,event,100.0,101,0,0
VOTV,group,100.0,101,0,0
VOTV,flash,100.0,101,0,0
VECC,event,25.0,101,0,0
VECC,group,25.0,101,0,0
VECC,flash,25.0,101,0,0
VECC,event,50.0,101,0,0
VECC,group,50.0,101,0,0
VECC,flash,50.0,101,0,0
VECC,event,100.0,101,0,0
VECC,group,100.0,101,0,0
VECC,flash,100.0,101,0,0
VIDP,event,25.0,101,0,0
VIDP,group,25.0,101,0,0
VIDP,flash,25.0,101,0,0
VIDP,event,50.0,101,0,0
VIDP,group,50.0,101,0,0
VIDP,flash,50.0,101,0,0
VIDP,event,100.0,101,0,0
VIDP,group,100.0,101,0,0
VIDP,flash,100.0,101,0,0
VOCI,event,25.0,101,0,0
VOCI,group,25.0,101,0,0
VOCI,flash,25.0,101,0,0
VOCI,event,50.0,101,0,0
VOCI,group,50.0,101,0,0
VOCI,flash,50.0,101,0,0
VOCI,event,100.0,101,0,0
VOCI,group,100.0,101,0,0
VOCI,flash,100.0,101,0,0
VABB,event,25.0,101,0,0
VABB,group,25.0,101,0,0
VABB,flash,25.0,101,0,0
VABB,event,50.0,101,0,0
VABB,group,50.0,101,0,0
VABB,flash,50.0,101,0,0
VABB,event,100.0,101,0,0
VABB,group,100.0,101,0,0
VABB,flash,100.0,101,0,0
