granule,start_time,end_time,event_count,group_count,flash_count
TRMM_LIS_SC.05.0_2013.365.91865.nc,2013-12-31T22:51:57.800000+00:00,2014-01-01T00:23:53.800000+00:00,1987,390,25
TRMM_LIS_SC.05.0_2014.001.91866.nc,2014-01-01T00:24:20.800000+00:00,2014-01-01T01:56:16.800000+00:00,2425,529,44
TRMM_LIS_SC.05.0_2014.001.91867.nc,2014-01-01T01:56:43.800000+00:00,2014-01-01T03:28:42.800000+00:00,1595,376,52
TRMM_LIS_SC.05.0_2014.001.91868.nc,2014-01-01T03:29:09.800000+00:00,2014-01-01T05:01:05.800000+00:00,3723,863,50
TRMM_LIS_SC.05.0_2014.001.91869.nc,2014-01-01T05:01:32.800000+00:00,2014-01-01T06:33:28.800000+00:00,2426,600,74
TRMM_LIS_SC.05.0_2014.001.91870.nc,2014-01-01T06:33:55.800000+00:00,2014-01-01T08:05:53.800000+00:00,15808,2220,178
TRMM_LIS_SC.05.0_2014.001.91871.nc,2014-01-01T08:06:20.800000+00:00,2014-01-01T09:38:16.800000+00:00,12780,3099,238
TRMM_LIS_SC.05.0_2014.001.91872.nc,2014-01-01T09:38:43.800000+00:00,2014-01-01T11:10:39.800000+00:00,1431,278,13
TRMM_LIS_SC.05.0_2014.001.91873.nc,2014-01-01T11:11:06.800000+00:00,2014-01-01T12:43:02.800000+00:00,301,64,5
TRMM_LIS_SC.05.0_2014.001.91874.nc,2014-01-01T12:43:29.800000+00:00,2014-01-01T14:15:27.800000+00:00,6373,1473,143
TRMM_LIS_SC.05.0_2014.001.91875.nc,2014-01-01T14:15:54.800000+00:00,2014-01-01T15:47:50.800000+00:00,15648,3383,300
TRMM_LIS_SC.05.0_2014.001.91877.nc,2014-01-01T17:20:40.800000+00:00,2014-01-01T18:52:38.800000+00:00,11151,3381,303
TRMM_LIS_SC.05.0_2014.001.91878.nc,2014-01-01T18:53:05.800000+00:00,2014-01-01T20:25:02.800000+00:00,2641,643,74
TRMM_LIS_SC.05.0_2014.001.91879.nc,2014-01-01T20:25:29.800000+00:00,2014-01-01T21:57:25.800000+00:00,16767,3235,285
TRMM_LIS_SC.05.0_2014.001.91880.nc,2014-01-01T21:57:52.800000+00:00,2014-01-01T23:29:48.800000+00:00,7589,2296,201
TRMM_LIS_SC.05.0_2014.002.91882.nc,2014-01-02T01:02:40.900000+00:00,2014-01-02T02:34:36.900000+00:00,1614,337,42
TRMM_LIS_SC.05.0_2014.002.91883.nc,2014-01-02T02:35:03.900000+00:00,2014-01-02T04:06:59.900000+00:00,21961,5783,552
TRMM_LIS_SC.05.0_2014.002.91884.nc,2014-01-02T04:07:26.900000+00:00,2014-01-02T05:39:22.900000+00:00,7510,1491,201
TRMM_LIS_SC.05.0_2014.002.91885.nc,2014-01-02T05:39:49.900000+00:00,2014-01-02T07:11:45.900000+00:00,1301,340,43
TRMM_LIS_SC.05.0_2014.002.91886.nc,2014-01-02T07:12:12.900000+00:00,2014-01-02T08:44:09.900000+00:00,9830,2503,188
TRMM_LIS_SC.05.0_2014.002.91887.nc,2014-01-02T08:44:36.900000+00:00,2014-01-02T10:16:34.900000+00:00,201,77,5
TRMM_LIS_SC.05.0_2014.002.91888.nc,2014-01-02T10:17:01.900000+00:00,2014-01-02T11:48:57.900000+00:00,2373,515,21
TRMM_LIS_SC.05.0_2014.002.91889.nc,2014-01-02T11:49:24.900000+00:00,2014-01-02T13:21:20.900000+00:00,7538,1747,75
TRMM_LIS_SC.05.0_2014.002.91890.nc,2014-01-02T13:21:47.900000+00:00,2014-01-02T14:53:43.900000+00:00,51179,11391,1018
TRMM_LIS_SC.05.0_2014.002.91892.nc,2014-01-02T16:26:33.900000+00:00,2014-01-02T17:58:29.900000+00:00,2718,882,86
TRMM_LIS_SC.05.0_2014.002.91893.nc,2014-01-02T17:58:56.900000+00:00,2014-01-02T19:30:54.900000+00:00,4951,1402,165
TRMM_LIS_SC.05.0_2014.002.91894.nc,2014-01-02T19:31:21.900000+00:00,2014-01-02T21:03:17.900000+00:00,16061,3915,363
TRMM_LIS_SC.05.0_2014.002.91895.nc,2014-01-02T21:03:44.900000+00:00,2014-01-02T22:35:40.900000+00:00,19285,4145,575
TRMM_LIS_SC.05.0_2014.002.91896.nc,2014-01-02T22:36:07.900000+00:00,2014-01-03T00:08:04.900000+00:00,1622,487,42
TRMM_LIS_SC.05.0_2014.003.91897.nc,2014-01-03T00:08:31.900000+00:00,2014-01-03T01:40:27.900000+00:00,1198,207,22
TRMM_LIS_SC.05.0_2014.003.91898.nc,2014-01-03T01:40:54.900000+00:00,2014-01-03T03:12:50.900000+00:00,7634,1358,79
TRMM_LIS_SC.05.0_2014.003.91899.nc,2014-01-03T03:13:17.900000+00:00,2014-01-03T04:45:13.900000+00:00,2102,419,70
TRMM_LIS_SC.05.0_2014.003.91900.nc,2014-01-03T04:45:40.900000+00:00,2014-01-03T06:17:36.900000+00:00,6502,1496,194
TRMM_LIS_SC.05.0_2014.003.91901.nc,2014-01-03T06:18:03.900000+00:00,2014-01-03T07:49:59.900000+00:00,48157,12540,1440
TRMM_LIS_SC.05.0_2014.003.91902.nc,2014-01-03T07:50:26.900000+00:00,2014-01-03T09:22:22.900000+00:00,8908,2357,194
TRMM_LIS_SC.05.0_2014.003.91903.nc,2014-01-03T09:22:49.900000+00:00,2014-01-03T10:54:47.900000+00:00,158,40,4
TRMM_LIS_SC.05.0_2014.003.91904.nc,2014-01-03T10:55:14.900000+00:00,2014-01-03T12:27:11.900000+00:00,2532,557,27
TRMM_LIS_SC.05.0_2014.003.91905.nc,2014-01-03T12:27:38.900000+00:00,2014-01-03T13:59:34.900000+00:00,20006,4152,394
TRMM_LIS_SC.05.0_2014.003.91906.nc,2014-01-03T14:00:01.900000+00:00,2014-01-03T15:31:57.900000+00:00,1734,446,23
TRMM_LIS_SC.05.0_2014.003.91908.nc,2014-01-03T17:04:47.900000+00:00,2014-01-03T18:36:43.900000+00:00,16579,3736,271
TRMM_LIS_SC.05.0_2014.003.91909.nc,2014-01-03T18:37:10.900000+00:00,2014-01-03T20:09:06.900000+00:00,40445,9882,898
TRMM_LIS_SC.05.0_2014.003.91910.nc,2014-01-03T20:09:33.900000+00:00,2014-01-03T21:41:29.900000+00:00,25729,6649,633
TRMM_LIS_SC.05.0_2014.003.91911.nc,2014-01-03T21:41:56.900000+00:00,2014-01-03T23:13:52.900000+00:00,4071,1002,108
TRMM_LIS_SC.05.0_2014.003.91912.nc,2014-01-03T23:14:19.900000+00:00,2014-01-04T00:46:16.900000+00:00,2615,474,48
TRMM_LIS_SC.05.0_2014.004.91913.nc,2014-01-04T00:46:44+00:00,2014-01-04T02:18:40+00:00,11992,2097,146
TRMM_LIS_SC.05.0_2014.004.91914.nc,2014-01-04T02:19:07+00:00,2014-01-04T03:51:03+00:00,978,175,34
TRMM_LIS_SC.05.0_2014.004.91915.nc,2014-01-04T03:51:30+00:00,2014-01-04T05:23:26+00:00,8197,2081,247
TRMM_LIS_SC.05.0_2014.004.91916.nc,2014-01-04T05:23:53+00:00,2014-01-04T06:55:49+00:00,23291,6062,571
TRMM_LIS_SC.05.0_2014.004.91917.nc,2014-01-04T06:56:16+00:00,2014-01-04T08:28:12+00:00,26630,5997,592
TRMM_LIS_SC.05.0_2014.004.91918.nc,2014-01-04T08:28:39+00:00,2014-01-04T10:00:35+00:00,130,28,3
TRMM_LIS_SC.05.0_2014.004.91919.nc,2014-01-04T10:01:02+00:00,2014-01-04T11:32:58+00:00,1067,262,19
TRMM_LIS_SC.05.0_2014.004.91920.nc,2014-01-04T11:33:25+00:00,2014-01-04T13:05:22+00:00,594,144,19
TRMM_LIS_SC.05.0_2014.004.91921.nc,2014-01-04T13:05:49+00:00,2014-01-04T14:37:45+00:00,21990,4575,402
TRMM_LIS_SC.05.0_2014.004.91923.nc,2014-01-04T16:10:35+00:00,2014-01-04T17:42:31+00:00,8023,1895,178
TRMM_LIS_SC.05.0_2014.004.91924.nc,2014-01-04T17:42:58+00:00,2014-01-04T19:14:54+00:00,9431,2009,176
TRMM_LIS_SC.05.0_2014.004.91925.nc,2014-01-04T19:15:21+00:00,2014-01-04T20:47:17+00:00,15316,3973,411
TRMM_LIS_SC.05.0_2014.004.91926.nc,2014-01-04T20:47:44+00:00,2014-01-04T22:19:40+00:00,3089,666,43
TRMM_LIS_SC.05.0_2014.004.91927.nc,2014-01-04T22:20:07+00:00,2014-01-04T23:52:02+00:00,2507,552,51
TRMM_LIS_SC.05.0_2014.004.91928.nc,2014-01-04T23:52:29+00:00,2014-01-05T01:24:25+00:00,14144,2233,154
TRMM_LIS_SC.05.0_2014.005.91929.nc,2014-01-05T01:24:52+00:00,2014-01-05T02:56:48+00:00,3681,868,47
TRMM_LIS_SC.05.0_2014.005.91930.nc,2014-01-05T02:57:15+00:00,2014-01-05T04:29:11+00:00,7462,1659,119
TRMM_LIS_SC.05.0_2014.005.91931.nc,2014-01-05T04:29:38+00:00,2014-01-05T06:01:34+00:00,11068,2833,309
TRMM_LIS_SC.05.0_2014.005.91932.nc,2014-01-05T06:02:01+00:00,2014-01-05T07:33:57+00:00,27181,6919,1143
TRMM_LIS_SC.05.0_2014.005.91933.nc,2014-01-05T07:34:24+00:00,2014-01-05T09:06:20+00:00,3877,1055,94
TRMM_LIS_SC.05.0_2014.005.91934.nc,2014-01-05T09:06:47+00:00,2014-01-05T10:38:43+00:00,4458,1231,73
TRMM_LIS_SC.05.0_2014.005.91935.nc,2014-01-05T10:39:10+00:00,2014-01-05T12:11:05+00:00,580,118,10
TRMM_LIS_SC.05.0_2014.005.91936.nc,2014-01-05T12:11:32+00:00,2014-01-05T13:43:28+00:00,32227,7920,817
TRMM_LIS_SC.05.0_2014.005.91938.nc,2014-01-05T15:16:18+00:00,2014-01-05T16:48:14+00:00,9645,2178,150
TRMM_LIS_SC.05.0_2014.005.91939.nc,2014-01-05T16:48:41+00:00,2014-01-05T18:20:37+00:00,9771,2717,277
TRMM_LIS_SC.05.0_2014.005.91940.nc,2014-01-05T18:21:04+00:00,2014-01-05T19:53:00+00:00,20786,5900,802
TRMM_LIS_SC.05.0_2014.005.91941.nc,2014-01-05T19:53:27+00:00,2014-01-05T21:25:23+00:00,4541,1170,86
TRMM_LIS_SC.05.0_2014.005.91942.nc,2014-01-05T21:25:50+00:00,2014-01-05T22:57:45+00:00,3013,539,52
TRMM_LIS_SC.05.0_2014.005.91943.nc,2014-01-05T22:58:12+00:00,2014-01-06T00:30:08+00:00,17420,3197,210
TRMM_LIS_SC.05.0_2014.006.91944.nc,2014-01-06T00:30:35.100000+00:00,2014-01-06T02:02:31.100000+00:00,0,0,0
TRMM_LIS_SC.05.0_2014.006.91945.nc,2014-01-06T02:02:58.100000+00:00,2014-01-06T03:34:54.100000+00:00,630,199,29
TRMM_LIS_SC.05.0_2014.006.91946.nc,2014-01-06T03:35:21.100000+00:00,2014-01-06T05:07:17.100000+00:00,4481,1178,83
TRMM_LIS_SC.05.0_2014.006.91947.nc,2014-01-06T05:07:44.100000+00:00,2014-01-06T06:39:38.100000+00:00,27488,7333,774
TRMM_LIS_SC.05.0_2014.006.91948.nc,2014-01-06T06:40:05.100000+00:00,2014-01-06T08:12:02.100000+00:00,6822,1394,83
TRMM_LIS_SC.05.0_2014.006.91949.nc,2014-01-06T08:12:29.100000+00:00,2014-01-06T09:44:25.100000+00:00,87,24,2
TRMM_LIS_SC.05.0_2014.006.91950.nc,2014-01-06T09:44:52.100000+00:00,2014-01-06T11:16:48.100000+00:00,379,90,7
TRMM_LIS_SC.05.0_2014.006.91951.nc,2014-01-06T11:17:15.100000+00:00,2014-01-06T12:49:09.100000+00:00,24801,5622,563
TRMM_LIS_SC.05.0_2014.006.91954.nc,2014-01-06T15:54:22.100000+00:00,2014-01-06T17:26:18.100000+00:00,5000,1384,155
TRMM_LIS_SC.05.0_2014.006.91955.nc,2014-01-06T17:26:45.100000+00:00,2014-01-06T18:58:42.100000+00:00,22265,6061,693
TRMM_LIS_SC.05.0_2014.006.91956.nc,2014-01-06T18:59:09.100000+00:00,2014-01-06T20:31:03.100000+00:00,16325,4141,557
TRMM_LIS_SC.05.0_2014.006.91957.nc,2014-01-06T20:31:30.100000+00:00,2014-01-06T22:03:26.100000+00:00,6474,1186,82
TRMM_LIS_SC.05.0_2014.006.91958.nc,2014-01-06T22:03:53.100000+00:00,2014-01-06T23:35:49.100000+00:00,235,46,10
TRMM_LIS_SC.05.0_2014.006.91959.nc,2014-01-06T23:36:16+00:00,2014-01-07T01:08:10+00:00,2324,632,72
TRMM_LIS_SC.05.0_2014.007.91960.nc,2014-01-07T01:08:37+00:00,2014-01-07T02:40:33+00:00,2623,878,141
TRMM_LIS_SC.05.0_2014.007.91961.nc,2014-01-07T02:41:00+00:00,2014-01-07T04:12:56+00:00,6987,1717,112
TRMM_LIS_SC.05.0_2014.007.91962.nc,2014-01-07T04:13:23+00:00,2014-01-07T05:45:18+00:00,8425,2135,219
TRMM_LIS_SC.05.0_2014.007.91963.nc,2014-01-07T05:45:45+00:00,2014-01-07T07:17:41+00:00,2054,478,41
TRMM_LIS_SC.05.0_2014.007.91964.nc,2014-01-07T07:18:08+00:00,2014-01-07T08:50:04+00:00,1216,236,19
TRMM_LIS_SC.05.0_2014.007.91965.nc,2014-01-07T08:50:31+00:00,2014-01-07T10:22:27+00:00,2410,398,14
TRMM_LIS_SC.05.0_2014.007.91966.nc,2014-01-07T10:22:54+00:00,2014-01-07T11:54:48+00:00,24965,6565,747
TRMM_LIS_SC.05.0_2014.007.91967.nc,2014-01-07T11:55:15+00:00,2014-01-07T13:27:11+00:00,12665,3413,313
TRMM_LIS_SC.05.0_2014.007.91969.nc,2014-01-07T15:00:01+00:00,2014-01-07T16:31:56+00:00,9951,2158,187
TRMM_LIS_SC.05.0_2014.007.91970.nc,2014-01-07T16:32:23+00:00,2014-01-07T18:04:21+00:00,20556,5889,669
TRMM_LIS_SC.05.0_2014.007.91971.nc,2014-01-07T18:04:48+00:00,2014-01-07T19:36:44+00:00,17048,4964,610
TRMM_LIS_SC.05.0_2014.007.91972.nc,2014-01-07T19:37:11+00:00,2014-01-07T21:09:09+00:00,35507,10188,1271
TRMM_LIS_SC.05.0_2014.007.91973.nc,2014-01-07T21:09:36+00:00,2014-01-07T22:41:34+00:00,7198,1633,130
TRMM_LIS_SC.05.0_2014.007.91974.nc,2014-01-07T22:42:01+00:00,2014-01-08T00:13:57+00:00,10750,2989,265
