filename,n_events,n_groups,n_flashes,min_latitude,max_latitude,min_longitude,max_longitude,observation_start_time,observation_end_time,n_valid_geolocated_observations,open_backend
TRMM_LIS_SC.05.0_2013.365.91865.nc,1987,390,25,-31.0469913482666,35.46873092651367,25.76117515563965,149.95359802246094,2013-12-31T22:59:17.194568+00:00,2013-12-31T23:36:09.463184+00:00,25,netCDF4
TRMM_LIS_SC.05.0_2014.001.91866.nc,2425,529,44,-35.558815002441406,37.04716873168945,-60.865875244140625,150.5687713623047,2014-01-01T00:25:54.697986+00:00,2014-01-01T01:55:38.908908+00:00,44,netCDF4
TRMM_LIS_SC.05.0_2014.001.91867.nc,1595,376,52,-0.9491630792617798,33.038665771484375,32.494873046875,146.37820434570312,2014-01-01T02:20:04.129947+00:00,2014-01-01T02:51:04.827869+00:00,52,netCDF4
TRMM_LIS_SC.05.0_2014.001.91868.nc,3723,863,50,-31.318233489990234,29.887046813964844,-126.79517364501953,52.81311798095703,2014-01-01T03:37:25.703601+00:00,2014-01-01T04:56:11.719531+00:00,50,netCDF4
TRMM_LIS_SC.05.0_2014.001.91869.nc,2426,600,74,-25.569759368896484,31.206253051757812,-169.2617950439453,156.98326110839844,2014-01-01T05:11:28.569186+00:00,2014-01-01T06:23:02.506168+00:00,74,netCDF4
TRMM_LIS_SC.05.0_2014.001.91870.nc,15808,2220,178,-20.402856826782227,7.549598217010498,-66.56358337402344,138.1962890625,2014-01-01T06:48:34.553470+00:00,2014-01-01T07:47:25.550006+00:00,178,netCDF4
TRMM_LIS_SC.05.0_2014.001.91871.nc,12780,3099,238,-22.29457664489746,36.570152282714844,-76.28314208984375,131.9052734375,2014-01-01T08:25:05.904666+00:00,2014-01-01T09:25:38.894504+00:00,238,netCDF4
TRMM_LIS_SC.05.0_2014.001.91872.nc,1431,278,13,-30.363086700439453,6.181515216827393,-80.45941162109375,129.79295349121094,2014-01-01T10:04:27.559131+00:00,2014-01-01T11:04:08.353214+00:00,13,netCDF4
TRMM_LIS_SC.05.0_2014.001.91873.nc,301,64,5,-35.34311294555664,-20.00443458557129,-144.8514862060547,131.9207763671875,2014-01-01T11:25:00.565295+00:00,2014-01-01T12:42:41.575961+00:00,5,netCDF4
TRMM_LIS_SC.05.0_2014.001.91874.nc,6373,1473,143,-27.595182418823242,17.635889053344727,-173.0841827392578,50.5419807434082,2014-01-01T12:54:36.881183+00:00,2014-01-01T13:59:50.891620+00:00,143,netCDF4
TRMM_LIS_SC.05.0_2014.001.91875.nc,15648,3383,300,-35.36710739135742,6.914726257324219,0.6270714402198792,169.46078491210938,2014-01-01T14:19:39.428821+00:00,2014-01-01T15:37:45.623996+00:00,300,netCDF4
TRMM_LIS_SC.05.0_2014.001.91877.nc,11151,3381,303,-32.87221145629883,4.308852195739746,-42.424381256103516,148.8790740966797,2014-01-01T17:35:33.528156+00:00,2014-01-01T18:50:13.990543+00:00,303,netCDF4
TRMM_LIS_SC.05.0_2014.001.91878.nc,2641,643,74,-12.040209770202637,3.0218493938446045,-65.26750946044922,125.16692352294922,2014-01-01T19:11:50.967899+00:00,2014-01-01T20:08:07.616687+00:00,74,netCDF4
TRMM_LIS_SC.05.0_2014.001.91879.nc,16767,3235,285,-27.238143920898438,7.4336042404174805,-78.35066986083984,117.65006256103516,2014-01-01T20:40:32.457721+00:00,2014-01-01T21:48:08.478900+00:00,285,netCDF4
TRMM_LIS_SC.05.0_2014.001.91880.nc,7589,2296,201,-30.945837020874023,37.83904266357422,-68.0576400756836,163.42523193359375,2014-01-01T22:04:05.172473+00:00,2014-01-01T23:24:30.845538+00:00,201,netCDF4
TRMM_LIS_SC.05.0_2014.002.91882.nc,1614,337,42,-35.10359191894531,31.406055450439453,-51.09356689453125,155.91209411621094,2014-01-02T01:02:53.984286+00:00,2014-01-02T01:57:38.819690+00:00,42,netCDF4
TRMM_LIS_SC.05.0_2014.002.91883.nc,21961,5783,552,-36.100852966308594,26.912647247314453,-145.63035583496094,53.37934494018555,2014-01-02T02:37:03.817004+00:00,2014-01-02T03:56:03.372912+00:00,552,netCDF4
TRMM_LIS_SC.05.0_2014.002.91884.nc,7510,1491,201,-34.093441009521484,9.261256217956543,-67.17778015136719,152.22238159179688,2014-01-02T04:13:22.627322+00:00,2014-01-02T05:16:02.128726+00:00,201,netCDF4
TRMM_LIS_SC.05.0_2014.002.91885.nc,1301,340,43,-20.8167724609375,34.8599967956543,-69.0451431274414,147.6334991455078,2014-01-02T05:53:06.618350+00:00,2014-01-02T06:54:20.683444+00:00,43,netCDF4
TRMM_LIS_SC.05.0_2014.002.91886.nc,9830,2503,188,-29.15648651123047,36.63579559326172,-64.81639099121094,152.6771697998047,2014-01-02T07:33:12.519732+00:00,2014-01-02T08:36:03.705447+00:00,188,netCDF4
TRMM_LIS_SC.05.0_2014.002.91887.nc,201,77,5,25.746116638183594,34.62595748901367,28.21281623840332,53.10520935058594,2014-01-02T09:37:16.420275+00:00,2014-01-02T09:42:39.879214+00:00,5,netCDF4
TRMM_LIS_SC.05.0_2014.002.91888.nc,2373,515,21,-23.477516174316406,-20.36746597290039,-146.4659881591797,-137.0409393310547,2014-01-02T10:27:32.605838+00:00,2014-01-02T10:29:56.460238+00:00,21,netCDF4
TRMM_LIS_SC.05.0_2014.002.91889.nc,7538,1747,75,24.488065719604492,26.33364486694336,-92.92711639404297,-86.63976287841797,2014-01-02T12:24:27.031771+00:00,2014-01-02T12:26:18.544848+00:00,75,netCDF4
TRMM_LIS_SC.05.0_2014.002.91890.nc,51179,11391,1018,-24.44747543334961,6.565884590148926,3.126987934112549,48.06319808959961,2014-01-02T14:27:37.175494+00:00,2014-01-02T14:42:27.000125+00:00,1018,netCDF4
TRMM_LIS_SC.05.0_2014.002.91892.nc,2718,882,86,-30.157861709594727,-18.64518165588379,15.914468765258789,128.12103271484375,2014-01-02T16:38:23.227496+00:00,2014-01-02T17:54:10.417407+00:00,86,netCDF4
TRMM_LIS_SC.05.0_2014.002.91893.nc,4951,1402,165,-9.206045150756836,25.232336044311523,-92.09129333496094,125.87700653076172,2014-01-02T18:17:50.850268+00:00,2014-01-02T19:13:20.816317+00:00,165,netCDF4
TRMM_LIS_SC.05.0_2014.002.91894.nc,16061,3915,363,-24.58344268798828,34.92525100708008,-153.8850555419922,170.47982788085938,2014-01-02T19:51:53.886660+00:00,2014-01-02T20:52:43.702349+00:00,363,netCDF4
TRMM_LIS_SC.05.0_2014.002.91895.nc,19285,4145,575,-35.5239372253418,34.55364990234375,-155.14308166503906,171.14639282226562,2014-01-02T21:13:25.389987+00:00,2014-01-02T22:34:42.376010+00:00,575,netCDF4
TRMM_LIS_SC.05.0_2014.002.91896.nc,1622,487,42,-28.860986709594727,34.840885162353516,-158.34007263183594,172.43011474609375,2014-01-02T22:45:51.556353+00:00,2014-01-02T23:35:44.813784+00:00,42,netCDF4
TRMM_LIS_SC.05.0_2014.003.91897.nc,1198,207,22,-33.31259536743164,-6.581316947937012,-23.818605422973633,30.0229434967041,2014-01-03T00:12:45.588687+00:00,2014-01-03T00:28:36.422137+00:00,22,netCDF4
