station,timestamp_utc,event_id,case_type,target_1h,target_2h,target_3h,sat_observation_available,sat_causal_ok,sat_features_complete,sat_age_minutes,sat_acquisition_end_utc,gId,source_filename,phase8d_split,primary_experiment_row
VABB,2025-05-31 14:00:00+00:00,VABB_CTL_03_20250614T14,control,0.0,0.0,0.0,1,True,True,77.51666666666667,2025-05-31 12:42:29+00:00,15607679.0,3RIMG_31MAY2025_1215_L2B_CMK_V01R00.h5,test,True
VABB,2025-05-31 16:00:00+00:00,VABB_CTL_03_20250614T14,control,0.0,0.0,0.0,1,True,True,17.516666666666666,2025-05-31 15:42:29+00:00,15608231.0,3RIMG_31MAY2025_1515_L2B_CMK_V01R00.h5,test,True
VABB,2025-05-31 17:00:00+00:00,VABB_CTL_03_20250614T14,control,0.0,0.0,0.0,1,True,True,77.51666666666667,2025-05-31 15:42:29+00:00,15608231.0,3RIMG_31MAY2025_1515_L2B_CMK_V01R00.h5,test,True
VABB,2025-05-31 18:00:00+00:00,VABB_CTL_03_20250614T14,control,0.0,0.0,0.0,1,True,True,17.533333333333335,2025-05-31 17:42:28+00:00,15608589.0,3RIMG_31MAY2025_1715_L2B_CMK_V01R00.h5,test,True
VABB,2025-05-31 19:00:00+00:00,VABB_CTL_03_20250614T14,control,0.0,0.0,0.0,1,True,True,77.53333333333333,2025-05-31 17:42:28+00:00,15608589.0,3RIMG_31MAY2025_1715_L2B_CMK_V01R00.h5,test,True
VABB,2025-05-31 23:00:00+00:00,VABB_CTL_03_20250614T14,control,0.0,0.0,0.0,1,True,True,47.53333333333333,2025-05-31 22:12:28+00:00,15609475.0,3RIMG_31MAY2025_2145_L2B_CMK_V01R00.h5,test,True
VABB,2025-06-01 01:00:00+00:00,VABB_CTL_03_20250614T14,control,0.0,0.0,0.0,1,True,True,47.516666666666666,2025-06-01 00:12:29+00:00,15610011.0,3RIMG_31MAY2025_2345_L2B_CMK_V01R00.h5,test,True
VABB,2025-06-14 14:00:00+00:00,VABB_TS_03_20250614T14,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.5,2025-06-14 12:42:30+00:00,15682305.0,3RIMG_14JUN2025_1215_L2B_CMK_V01R00.h5,test,True
VABB,2025-06-14 16:00:00+00:00,VABB_TS_03_20250614T14,thunderstorm_episode,1.0,1.0,1.0,1,True,True,17.5,2025-06-14 15:42:30+00:00,15682909.0,3RIMG_14JUN2025_1515_L2B_CMK_V01R00.h5,test,True
VABB,2025-06-14 17:00:00+00:00,VABB_TS_03_20250614T14,thunderstorm_episode,1.0,1.0,1.0,1,True,True,77.5,2025-06-14 15:42:30+00:00,15682909.0,3RIMG_14JUN2025_1515_L2B_CMK_V01R00.h5,test,True
