station_id,event_id,case_type,timestamp_utc,sat_cloud_mask_at_station,sat_cloudy_fraction_25km,sat_clear_fraction_25km,sat_valid_pixel_count_25km,sat_observation_available,sat_observation_time_utc,sat_acquisition_start_utc,sat_acquisition_end_utc,sat_age_minutes,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,precipitation,cloud_cover,nwp_cape,nwp_convective_inhibition,nwp_lifted_index,nwp_cloud_cover,nwp_precipitation,baseline_p_1h,baseline_p_2h,baseline_p_3h,baseline_alert_1h,baseline_alert_2h,baseline_alert_3h,target_1h,target_2h,target_3h,target_1h_state,target_2h_state,target_3h_state,source_filename,gId,exploratory_case_based,baseline_probability_label,sat_nwp_cloud_difference,nwp_cloud_cover_01_for_difference
VABB,VABB_CTL_03_20250614T14,control,2025-05-31 14:00:00+00:00,0.0,0.2222222222222222,0.7777777777777778,108.0,1,2025-05-31 12:15:00+00:00,2025-05-31 12:15:35+00:00,2025-05-31 12:42:29+00:00,77.51666666666667,28.95,79.99954,1003.3831,11.782784,0.0,100.0,540.0,-109.0,-1.7,100,0.0,0.03,0.025,0.025,0,0,0,0.0,0.0,0.0,NON_TS,NON_TS,NON_TS,3RIMG_31MAY2025_1215_L2B_CMK_V01R00.h5,15607679.0,True,Frozen Phase 8D Model B probability,0.7777777777777778,1.0
VABB,VABB_CTL_03_20250614T14,control,2025-05-31 16:00:00+00:00,2.0,0.7314814814814815,0.2685185185185185,108.0,1,2025-05-31 15:15:00+00:00,2025-05-31 15:15:35+00:00,2025-05-31 15:42:29+00:00,17.516666666666666,28.55,82.61116,1004.5788,12.413477,0.0,100.0,720.0,-42.0,-2.0,100,0.0,0.03,0.035,0.005,0,0,0,0.0,0.0,0.0,NON_TS,NON_TS,NON_TS,3RIMG_31MAY2025_1515_L2B_CMK_V01R00.h5,15608231.0,True,Frozen Phase 8D Model B probability,0.2685185185185185,1.0
VABB,VABB_CTL_03_20250614T14,control,2025-05-31 17:00:00+00:00,2.0,0.7314814814814815,0.2685185185185185,108.0,1,2025-05-31 15:15:00+00:00,2025-05-31 15:15:35+00:00,2025-05-31 15:42:29+00:00,77.51666666666667,28.45,82.84566,1004.9774,12.325728,0.0,100.0,880.0,-46.0,-2.2,100,0.0,0.01,0.04,0.005,0,0,0,0.0,0.0,0.0,NON_TS,NON_TS,NON_TS,3RIMG_31MAY2025_1515_L2B_CMK_V01R00.h5,15608231.0,True,Frozen Phase 8D Model B probability,0.2685185185185185,1.0
VABB,VABB_CTL_03_20250614T14,control,2025-05-31 18:00:00+00:00,2.0,0.7037037037037037,0.2962962962962963,108.0,1,2025-05-31 17:15:00+00:00,2025-05-31 17:15:35+00:00,2025-05-31 17:42:28+00:00,17.533333333333335,28.05,84.04302,1004.875,13.210087,0.1,100.0,950.0,-21.0,-2.6,100,0.0,0.045,0.06,0.07,0,0,1,0.0,0.0,0.0,NON_TS,NON_TS,NON_TS,3RIMG_31MAY2025_1715_L2B_CMK_V01R00.h5,15608589.0,True,Frozen Phase 8D Model B probability,0.2962962962962963,1.0
VABB,VABB_CTL_03_20250614T14,control,2025-05-31 19:00:00+00:00,2.0,0.7037037037037037,0.2962962962962963,108.0,1,2025-05-31 17:15:00+00:00,2025-05-31 17:15:35+00:00,2025-05-31 17:42:28+00:00,77.53333333333333,26.9,89.09508,1004.86816,12.093535,0.0,100.0,720.0,-12.0,-2.1,100,0.1,0.065,0.05,0.055,1,0,0,0.0,0.0,0.0,NON_TS,NON_TS,NON_TS,3RIMG_31MAY2025_1715_L2B_CMK_V01R00.h5,15608589.0,True,Frozen Phase 8D Model B probability,0.2962962962962963,1.0
VABB,VABB_CTL_03_20250614T14,control,2025-05-31 23:00:00+00:00,3.0,0.9722222222222222,0.0277777777777777,108.0,1,2025-05-31 21:45:00+00:00,2025-05-31 21:45:34+00:00,2025-05-31 22:12:28+00:00,47.53333333333333,25.7,91.716415,1003.5633,13.060857,0.4,100.0,340.0,-7.0,-0.7,100,0.1,0.02,0.045,0.035,0,0,0,0.0,0.0,0.0,NON_TS,NON_TS,NON_TS,3RIMG_31MAY2025_2145_L2B_CMK_V01R00.h5,15609475.0,True,Frozen Phase 8D Model B probability,0.02777777777777779,1.0
VABB,VABB_CTL_03_20250614T14,control,2025-06-01 01:00:00+00:00,3.0,0.9444444444444444,0.0555555555555555,108.0,1,2025-05-31 23:45:00+00:00,2025-05-31 23:45:35+00:00,2025-06-01 00:12:29+00:00,47.516666666666666,26.75,90.42208,1004.0687,10.1902895,0.3,100.0,360.0,-88.0,-0.9,100,0.0,0.025,0.03,0.03,0,0,0,0.0,0.0,0.0,NON_TS,NON_TS,NON_TS,3RIMG_31MAY2025_2345_L2B_CMK_V01R00.h5,15610011.0,True,Frozen Phase 8D Model B probability,0.05555555555555558,1.0
VABB,VABB_TS_03_20250614T14,thunderstorm_episode,2025-06-14 14:00:00+00:00,1.0,1.0,0.0,108.0,1,2025-06-14 12:15:00+00:00,2025-06-14 12:15:36+00:00,2025-06-14 12:42:30+00:00,77.5,27.0,92.88859,997.5821,9.840914,7.1,100.0,1740.0,-3.0,-5.1,100,0.1,0.26,0.205,0.19,1,1,1,1.0,1.0,1.0,TS,TS,TS,3RIMG_14JUN2025_1215_L2B_CMK_V01R00.h5,15682305.0,True,Frozen Phase 8D Model B probability,0.0,1.0
VABB,VABB_TS_03_20250614T14,thunderstorm_episode,2025-06-14 16:00:00+00:00,1.0,1.0,0.0,108.0,1,2025-06-14 15:15:00+00:00,2025-06-14 15:15:36+00:00,2025-06-14 15:42:30+00:00,17.5,27.0,96.81442,998.77985,6.341009,0.8,100.0,1340.0,-1.0,-3.7,100,0.1,0.17,0.12,0.095,1,1,1,1.0,1.0,1.0,TS,TS,TS,3RIMG_14JUN2025_1515_L2B_CMK_V01R00.h5,15682909.0,True,Frozen Phase 8D Model B probability,0.0,1.0
VABB,VABB_TS_03_20250614T14,thunderstorm_episode,2025-06-14 17:00:00+00:00,1.0,1.0,0.0,108.0,1,2025-06-14 15:15:00+00:00,2025-06-14 15:15:36+00:00,2025-06-14 15:42:30+00:00,77.5,26.4,97.66406,998.9757,8.891343,0.7,100.0,1290.0,-1.0,-4.3,100,0.0,0.105,0.095,0.105,1,1,1,1.0,1.0,1.0,TS,TS,TS,3RIMG_14JUN2025_1515_L2B_CMK_V01R00.h5,15682909.0,True,Frozen Phase 8D Model B probability,0.0,1.0
