station_id,case_id,case_type,n_satellite_complete_hours,time_start_utc,time_end_utc,mean_sat_cloudy_fraction_25km,min_sat_cloudy_fraction_25km,max_sat_cloudy_fraction_25km,mean_baseline_p_1h,max_baseline_p_1h,n_target_1h_positive,n_target_1h_negative,n_target_1h_unavailable,mean_baseline_p_2h,max_baseline_p_2h,n_target_2h_positive,n_target_2h_negative,n_target_2h_unavailable,mean_baseline_p_3h,max_baseline_p_3h,n_target_3h_positive,n_target_3h_negative,n_target_3h_unavailable
VABB,VABB_CTL_03_20250614T14,control,7,2025-05-31 14:00:00+00:00,2025-06-01 01:00:00+00:00,0.7156084656084657,0.2222222222222222,0.9722222222222222,0.03214285714285714,0.065,0,7,0,0.04071428571428572,0.06,0,7,0,0.03214285714285715,0.07,0,7,0
VABB,VABB_TS_03_20250614T14,thunderstorm_episode,8,2025-06-14 14:00:00+00:00,2025-06-15 01:00:00+00:00,1.0,1.0,1.0,0.161875,0.26,7,1,0,0.11687499999999999,0.205,7,1,0,0.11750000000000001,0.19,6,2,0
VECC,VECC_CTL_04_20240506T13,control,5,2024-04-22 13:00:00+00:00,2024-04-23 01:00:00+00:00,0.463265306122449,0.2244897959183673,0.8061224489795918,0.007000000000000001,0.015,0,5,0,0.006999999999999999,0.02,0,5,0,0.012,0.04,0,5,0
VECC,VECC_TS_04_20240506T13,thunderstorm_episode,7,2024-05-06 13:00:00+00:00,2024-05-07 01:00:00+00:00,1.0,1.0,1.0,0.05142857142857143,0.09,6,1,0,0.05714285714285715,0.11,5,2,0,0.06,0.11,5,2,0
VIDP,VIDP_CTL_02_20241227T01,control,5,2025-01-10 01:00:00+00:00,2025-01-10 15:00:00+00:00,0.1877551020408163,0.0,0.8163265306122449,0.0,0.0,0,5,0,0.0,0.0,0,5,0,0.0,0.0,0,5,0
VIDP,VIDP_CTL_03_20220107T19,control,7,2021-12-24 19:00:00+00:00,2021-12-25 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0,7,0,0.0,0.0,0,7,0
VIDP,VIDP_TS_02_20241227T01,thunderstorm_episode,8,2024-12-27 01:00:00+00:00,2024-12-27 15:00:00+00:00,1.0,1.0,1.0,0.051875,0.08,6,2,0,0.04062500000000001,0.08,6,2,0,0.031875,0.065,7,1,0
VIDP,VIDP_TS_03_20220107T19,thunderstorm_episode,8,2022-01-07 19:00:00+00:00,2022-01-08 07:00:00+00:00,1.0,1.0,1.0,0.7112499999999999,0.855,7,1,0,0.68875,0.86,7,1,0,0.588125,0.82,6,2,0
VOCI,VOCI_CTL_02_20231103T08,control,9,2023-10-20 08:00:00+00:00,2023-10-20 18:00:00+00:00,0.13793103448275856,0.043103448275862,0.25,0.08722222222222223,0.26,0,9,0,0.0761111111111111,0.25,0,9,0,0.06833333333333333,0.24,0,9,0
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,9,2023-11-03 08:00:00+00:00,2023-11-03 18:00:00+00:00,0.9003831417624522,0.5172413793103449,1.0,0.21333333333333332,0.37,9,0,0,0.16944444444444445,0.405,8,0,1,0.14166666666666666,0.355,9,0,0
