station,station_lat,station_lon,event_id,event_start_utc,event_end_utc,case_type,control_reference_if_any,satellite_window_start_utc,satellite_window_end_utc,selection_reason
VABB,19.1005,72.8585,VABB_TS_01_20190924T13,2019-09-24T13:00:00+00:00,2019-09-25T02:00:00+00:00,thunderstorm_episode,,2019-09-24T11:00:00+00:00,2019-09-25T04:00:00+00:00,METAR thunderstorm_target=1 observed; 12 positive hours; year=2019 season=monsoon
VABB,19.1005,72.8585,VABB_CTL_01_20190924T13,2019-09-10T13:00:00+00:00,2019-09-11T02:00:00+00:00,control,VABB_TS_01_20190924T13,2019-09-10T11:00:00+00:00,2019-09-11T04:00:00+00:00,Same station; offset -14d; no thunderstorm_target or target_1h in ±6h pad; all hours observed
VABB,19.1005,72.8585,VABB_TS_02_20210608T22,2021-06-08T22:00:00+00:00,2021-06-09T10:00:00+00:00,thunderstorm_episode,,2021-06-08T20:00:00+00:00,2021-06-09T12:00:00+00:00,METAR thunderstorm_target=1 observed; 12 positive hours; year=2021 season=monsoon
VABB,19.1005,72.8585,VABB_CTL_02_20210608T22,2021-06-22T22:00:00+00:00,2021-06-23T10:00:00+00:00,control,VABB_TS_02_20210608T22,2021-06-22T20:00:00+00:00,2021-06-23T12:00:00+00:00,Same station; offset 14d; no thunderstorm_target or target_1h in ±6h pad; all hours observed
VABB,19.1005,72.8585,VABB_TS_03_20240610T15,2024-06-10T15:00:00+00:00,2024-06-11T01:00:00+00:00,thunderstorm_episode,,2024-06-10T13:00:00+00:00,2024-06-11T03:00:00+00:00,METAR thunderstorm_target=1 observed; 11 positive hours; year=2024 season=monsoon
VABB,19.1005,72.8585,VABB_CTL_03_20240610T15,2024-05-27T15:00:00+00:00,2024-05-28T01:00:00+00:00,control,VABB_TS_03_20240610T15,2024-05-27T13:00:00+00:00,2024-05-28T03:00:00+00:00,Same station; offset -14d; no thunderstorm_target or target_1h in ±6h pad; all hours observed
VABB,19.1005,72.8585,VABB_TS_04_20241014T11,2024-10-14T11:00:00+00:00,2024-10-14T21:00:00+00:00,thunderstorm_episode,,2024-10-14T09:00:00+00:00,2024-10-14T23:00:00+00:00,METAR thunderstorm_target=1 observed; 11 positive hours; year=2024 season=post_monsoon
VABB,19.1005,72.8585,VABB_CTL_04_20241014T11,2024-09-30T11:00:00+00:00,2024-09-30T21:00:00+00:00,control,VABB_TS_04_20241014T11,2024-09-30T09:00:00+00:00,2024-09-30T23:00:00+00:00,Same station; offset -14d; no thunderstorm_target or target_1h in ±6h pad; all hours observed
VABB,19.1005,72.8585,VABB_TS_05_20250614T14,2025-06-14T14:00:00+00:00,2025-06-15T01:00:00+00:00,thunderstorm_episode,,2025-06-14T12:00:00+00:00,2025-06-15T03:00:00+00:00,METAR thunderstorm_target=1 observed; 12 positive hours; year=2025 season=monsoon
VABB,19.1005,72.8585,VABB_CTL_05_20250614T14,2025-05-31T14:00:00+00:00,2025-06-01T01:00:00+00:00,control,VABB_TS_05_20250614T14,2025-05-31T12:00:00+00:00,2025-06-01T03:00:00+00:00,Same station; offset -14d; no thunderstorm_target or target_1h in ±6h pad; all hours observed
VECC,22.6547,88.4467,VECC_TS_06_20170619T10,2017-06-19T10:00:00+00:00,2017-06-20T01:00:00+00:00,thunderstorm_episode,,2017-06-19T08:00:00+00:00,2017-06-20T03:00:00+00:00,METAR thunderstorm_target=1 observed; 15 positive hours; year=2017 season=monsoon
VECC,22.6547,88.4467,VECC_CTL_06_20170619T10,2017-06-05T10:00:00+00:00,2017-06-06T01:00:00+00:00,control,VECC_TS_06_20170619T10,2017-06-05T08:00:00+00:00,2017-06-06T03:00:00+00:00,Same station; offset -14d; no thunderstorm_target or target_1h in ±6h pad; all hours observed
VECC,22.6547,88.4467,VECC_TS_07_20210527T03,2021-05-27T03:00:00+00:00,2021-05-27T16:00:00+00:00,thunderstorm_episode,,2021-05-27T01:00:00+00:00,2021-05-27T18:00:00+00:00,METAR thunderstorm_target=1 observed; 14 positive hours; year=2021 season=pre_monsoon
VECC,22.6547,88.4467,VECC_CTL_07_20210527T03,2021-05-13T03:00:00+00:00,2021-05-13T16:00:00+00:00,control,VECC_TS_07_20210527T03,2021-05-13T01:00:00+00:00,2021-05-13T18:00:00+00:00,Same station; offset -14d; no thunderstorm_target or target_1h in ±6h pad; all hours observed
VECC,22.6547,88.4467,VECC_TS_08_20210919T18,2021-09-19T18:00:00+00:00,2021-09-20T08:00:00+00:00,thunderstorm_episode,,2021-09-19T16:00:00+00:00,2021-09-20T10:00:00+00:00,METAR thunderstorm_target=1 observed; 15 positive hours; year=2021 season=monsoon
