station,event_id,case_type,event_start_utc,event_end_utc,satellite_window_start_utc,satellite_window_end_utc,catalog_timestamp_utc,filename,gId,availability_status
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T04:15:00Z,3RIMG_13APR2018_0415_L2B_CMK_V01R00.h5,6033238,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T04:45:00Z,3RIMG_13APR2018_0445_L2B_CMK_V01R00.h5,6033293,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T05:15:00Z,3RIMG_13APR2018_0515_L2B_CMK_V01R00.h5,6033365,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T05:45:00Z,3RIMG_13APR2018_0545_L2B_CMK_V01R00.h5,6033481,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T06:15:00Z,3RIMG_13APR2018_0615_L2B_CMK_V01R00.h5,6033552,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T06:45:00Z,3RIMG_13APR2018_0645_L2B_CMK_V01R00.h5,6033593,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T07:15:00Z,3RIMG_13APR2018_0715_L2B_CMK_V01R00.h5,6033671,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T07:45:00Z,3RIMG_13APR2018_0745_L2B_CMK_V01R00.h5,6033754,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T08:15:00Z,3RIMG_13APR2018_0815_L2B_CMK_V01R00.h5,6033933,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T08:45:00Z,3RIMG_13APR2018_0845_L2B_CMK_V01R00.h5,6033982,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T09:15:00Z,3RIMG_13APR2018_0915_L2B_CMK_V01R00.h5,6034469,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T09:45:00Z,3RIMG_13APR2018_0945_L2B_CMK_V01R00.h5,6034102,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T10:15:00Z,3RIMG_13APR2018_1015_L2B_CMK_V01R00.h5,6034145,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T10:45:00Z,3RIMG_13APR2018_1045_L2B_CMK_V01R00.h5,6034195,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T11:15:00Z,3RIMG_13APR2018_1115_L2B_CMK_V01R00.h5,6034243,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T11:45:00Z,3RIMG_13APR2018_1145_L2B_CMK_V01R00.h5,6034281,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T12:15:00Z,3RIMG_13APR2018_1215_L2B_CMK_V01R00.h5,6034320,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T12:45:00Z,3RIMG_13APR2018_1245_L2B_CMK_V01R00.h5,6034356,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T13:15:00Z,3RIMG_13APR2018_1315_L2B_CMK_V01R00.h5,6034395,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T13:45:00Z,3RIMG_13APR2018_1345_L2B_CMK_V01R00.h5,6034430,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T14:15:00Z,3RIMG_13APR2018_1415_L2B_CMK_V01R00.h5,6034486,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T14:45:00Z,3RIMG_13APR2018_1445_L2B_CMK_V01R00.h5,6034602,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T15:15:00Z,3RIMG_13APR2018_1515_L2B_CMK_V01R00.h5,6034640,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T15:45:00Z,3RIMG_13APR2018_1545_L2B_CMK_V01R00.h5,6034679,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T16:15:00Z,3RIMG_13APR2018_1615_L2B_CMK_V01R00.h5,6034749,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T16:45:00Z,3RIMG_13APR2018_1645_L2B_CMK_V01R00.h5,6034787,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T17:15:00Z,3RIMG_13APR2018_1715_L2B_CMK_V01R00.h5,6034825,AVAILABLE
VOTV,VOTV_TS_01_20180413T06,thunderstorm_episode,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,2018-04-13T04:00:00+00:00,2018-04-14T00:00:00+00:00,2018-04-13T22:15:00Z,3RIMG_13APR2018_2215_L2B_CMK_V01R00.h5,6034967,AVAILABLE
