gId,filename,catalog_timestamp_utc,station,event_id,case_type
4946414,3RIMG_04MAY2017_0615_L2B_CMK_V01R00.h5,2017-05-04T06:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946465,3RIMG_04MAY2017_0645_L2B_CMK_V01R00.h5,2017-05-04T06:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946552,3RIMG_04MAY2017_0715_L2B_CMK_V01R00.h5,2017-05-04T07:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946655,3RIMG_04MAY2017_0745_L2B_CMK_V01R00.h5,2017-05-04T07:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946623,3RIMG_04MAY2017_0815_L2B_CMK_V01R00.h5,2017-05-04T08:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946682,3RIMG_04MAY2017_0845_L2B_CMK_V01R00.h5,2017-05-04T08:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946738,3RIMG_04MAY2017_0915_L2B_CMK_V01R00.h5,2017-05-04T09:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946802,3RIMG_04MAY2017_0945_L2B_CMK_V01R00.h5,2017-05-04T09:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946857,3RIMG_04MAY2017_1015_L2B_CMK_V01R00.h5,2017-05-04T10:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946913,3RIMG_04MAY2017_1045_L2B_CMK_V01R00.h5,2017-05-04T10:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946944,3RIMG_04MAY2017_1115_L2B_CMK_V01R00.h5,2017-05-04T11:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4946983,3RIMG_04MAY2017_1145_L2B_CMK_V01R00.h5,2017-05-04T11:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947052,3RIMG_04MAY2017_1215_L2B_CMK_V01R00.h5,2017-05-04T12:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947111,3RIMG_04MAY2017_1245_L2B_CMK_V01R00.h5,2017-05-04T12:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947168,3RIMG_04MAY2017_1315_L2B_CMK_V01R00.h5,2017-05-04T13:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control
4947201,3RIMG_04MAY2017_1345_L2B_CMK_V01R00.h5,2017-05-04T13:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control
