gId,filename,catalog_timestamp_utc,station,event_id,case_type,selection_reason
4946414,3RIMG_04MAY2017_0615_L2B_CMK_V01R00.h5,2017-05-04T06:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control,MVP sample; station=VOTV; event=VOTV_CTL_03_20170518T08; window_start_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4946738,3RIMG_04MAY2017_0915_L2B_CMK_V01R00.h5,2017-05-04T09:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control,MVP sample; station=VOTV; event=VOTV_CTL_03_20170518T08; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4946944,3RIMG_04MAY2017_1115_L2B_CMK_V01R00.h5,2017-05-04T11:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control,MVP sample; station=VOTV; event=VOTV_CTL_03_20170518T08; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4947250,3RIMG_04MAY2017_1415_L2B_CMK_V01R00.h5,2017-05-04T14:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control,MVP sample; station=VOTV; event=VOTV_CTL_03_20170518T08; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4947473,3RIMG_04MAY2017_1615_L2B_CMK_V01R00.h5,2017-05-04T16:15:00Z,VOTV,VOTV_CTL_03_20170518T08,control,MVP sample; station=VOTV; event=VOTV_CTL_03_20170518T08; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4947769,3RIMG_04MAY2017_2245_L2B_CMK_V01R00.h5,2017-05-04T22:45:00Z,VOTV,VOTV_CTL_03_20170518T08,control,MVP sample; station=VOTV; event=VOTV_CTL_03_20170518T08; window_end_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4987789,3RIMG_18MAY2017_0615_L2B_CMK_V01R00.h5,2017-05-18T06:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode,MVP sample; station=VOTV; event=VOTV_TS_03_20170518T08; window_start_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4988165,3RIMG_18MAY2017_0915_L2B_CMK_V01R00.h5,2017-05-18T09:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode,MVP sample; station=VOTV; event=VOTV_TS_03_20170518T08; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4988481,3RIMG_18MAY2017_1115_L2B_CMK_V01R00.h5,2017-05-18T11:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode,MVP sample; station=VOTV; event=VOTV_TS_03_20170518T08; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4989182,3RIMG_18MAY2017_1415_L2B_CMK_V01R00.h5,2017-05-18T14:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode,MVP sample; station=VOTV; event=VOTV_TS_03_20170518T08; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4989556,3RIMG_18MAY2017_1615_L2B_CMK_V01R00.h5,2017-05-18T16:15:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode,MVP sample; station=VOTV; event=VOTV_TS_03_20170518T08; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
4990680,3RIMG_18MAY2017_2245_L2B_CMK_V01R00.h5,2017-05-18T22:45:00Z,VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode,MVP sample; station=VOTV; event=VOTV_TS_03_20170518T08; window_end_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
5042102,3RIMG_05JUN2017_0815_L2B_CMK_V01R00.h5,2017-06-05T08:15:00Z,VECC,VECC_CTL_01_20170619T10,control,MVP sample; station=VECC; event=VECC_CTL_01_20170619T10; window_start_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
5042514,3RIMG_05JUN2017_1215_L2B_CMK_V01R00.h5,2017-06-05T12:15:00Z,VECC,VECC_CTL_01_20170619T10,control,MVP sample; station=VECC; event=VECC_CTL_01_20170619T10; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
5042834,3RIMG_05JUN2017_1515_L2B_CMK_V01R00.h5,2017-06-05T15:15:00Z,VECC,VECC_CTL_01_20170619T10,control,MVP sample; station=VECC; event=VECC_CTL_01_20170619T10; window_interior_actual_catalog_timestamp; thinned_min_gap_40min; not_hourly_observation
