station,event_id,event_start_utc,event_end_utc,case_type,control_reference_if_any,selection_reason
VOTV,VOTV_TS_01_20180413T06,2018-04-13T06:00:00+00:00,2018-04-13T22:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 17 consecutive/near hours (gap<=2h); year=2018 season=pre_monsoon; duration_h=17
VOTV,VOTV_TS_02_20180730T19,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 16 consecutive/near hours (gap<=2h); year=2018 season=monsoon; duration_h=16
VOTV,VOTV_CTL_02_20180730T19,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,control,VOTV_TS_02_20180730T19,Same station; 14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VOTV,VOTV_TS_03_20170518T08,2017-05-18T08:00:00+00:00,2017-05-18T21:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 13 consecutive/near hours (gap<=2h); year=2017 season=pre_monsoon; duration_h=14
VOTV,VOTV_CTL_03_20170518T08,2017-05-04T08:00:00+00:00,2017-05-04T21:00:00+00:00,control,VOTV_TS_03_20170518T08,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VOTV,VOTV_TS_04_20190524T09,2019-05-24T09:00:00+00:00,2019-05-24T21:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 13 consecutive/near hours (gap<=2h); year=2019 season=pre_monsoon; duration_h=13
VECC,VECC_TS_01_20170619T10,2017-06-19T10:00:00+00:00,2017-06-20T01:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 15 consecutive/near hours (gap<=2h); year=2017 season=monsoon; duration_h=16
VECC,VECC_CTL_01_20170619T10,2017-06-05T10:00:00+00:00,2017-06-06T01:00:00+00:00,control,VECC_TS_01_20170619T10,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VECC,VECC_TS_02_20210919T18,2021-09-19T18:00:00+00:00,2021-09-20T08:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 15 consecutive/near hours (gap<=2h); year=2021 season=monsoon; duration_h=15
VECC,VECC_CTL_02_20210919T18,2021-10-10T18:00:00+00:00,2021-10-11T08:00:00+00:00,control,VECC_TS_02_20210919T18,Same station; 21d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VECC,VECC_TS_03_20210527T03,2021-05-27T03:00:00+00:00,2021-05-27T16:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 14 consecutive/near hours (gap<=2h); year=2021 season=pre_monsoon; duration_h=14
VECC,VECC_CTL_03_20210527T03,2021-05-13T03:00:00+00:00,2021-05-13T16:00:00+00:00,control,VECC_TS_03_20210527T03,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VECC,VECC_TS_04_20240506T13,2024-05-06T13:00:00+00:00,2024-05-07T01:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 13 consecutive/near hours (gap<=2h); year=2024 season=pre_monsoon; duration_h=13
VECC,VECC_CTL_04_20240506T13,2024-04-22T13:00:00+00:00,2024-04-23T01:00:00+00:00,control,VECC_TS_04_20240506T13,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VIDP,VIDP_TS_01_20210910T23,2021-09-10T23:00:00+00:00,2021-09-11T12:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 14 consecutive/near hours (gap<=2h); year=2021 season=monsoon; duration_h=14
VIDP,VIDP_CTL_01_20210910T23,2021-08-27T23:00:00+00:00,2021-08-28T12:00:00+00:00,control,VIDP_TS_01_20210910T23,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VIDP,VIDP_TS_02_20241227T01,2024-12-27T01:00:00+00:00,2024-12-27T15:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 14 consecutive/near hours (gap<=2h); year=2024 season=post_monsoon; duration_h=15
VIDP,VIDP_CTL_02_20241227T01,2025-01-10T01:00:00+00:00,2025-01-10T15:00:00+00:00,control,VIDP_TS_02_20241227T01,Same station; 14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VIDP,VIDP_TS_03_20220107T19,2022-01-07T19:00:00+00:00,2022-01-08T07:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 13 consecutive/near hours (gap<=2h); year=2022 season=winter; duration_h=13
