station,target_T,sat_acquisition_end_utc,sat_age_minutes,source_filename,gId
VOCI,2021-12-24 20:00:00+00:00,2021-12-24 19:42:20+00:00,17.666666666666668,3RIMG_24DEC2021_1915_L2B_CMK_V01R00.h5,9839792
VECC,2025-06-14 16:00:00+00:00,2025-06-14 15:42:30+00:00,17.5,3RIMG_14JUN2025_1515_L2B_CMK_V01R00.h5,15682909
VABB,2024-12-27 03:00:00+00:00,2024-12-27 02:42:28+00:00,17.533333333333335,3RIMG_27DEC2024_0215_L2B_CMK_V01R00.h5,14828789
VOCI,2024-04-22 18:00:00+00:00,2024-04-22 17:12:29+00:00,47.516666666666666,3RIMG_22APR2024_1645_L2B_CMK_V01R00.h5,13453089
VECC,2024-04-23 03:00:00+00:00,2024-04-23 01:42:29+00:00,77.51666666666667,3RIMG_23APR2024_0115_L2B_CMK_V01R00.h5,13454773
VOTV,2023-10-20 17:00:00+00:00,2023-10-20 16:42:23+00:00,17.616666666666667,3RIMG_20OCT2023_1615_L2B_CMK_V01R00.h5,12474561
VECC,2024-05-07 02:00:00+00:00,2024-05-07 01:42:29+00:00,17.516666666666666,3RIMG_07MAY2024_0115_L2B_CMK_V01R00.h5,13523803
VECC,2023-10-20 16:00:00+00:00,2023-10-20 14:42:23+00:00,77.61666666666666,3RIMG_20OCT2023_1415_L2B_CMK_V01R00.h5,12474125
VIDP,2024-12-27 08:00:00+00:00,2024-12-27 07:42:27+00:00,17.55,3RIMG_27DEC2024_0715_L2B_CMK_V01R00.h5,14830247
VIDP,2023-10-20 11:00:00+00:00,2023-10-20 09:42:22+00:00,77.63333333333334,3RIMG_20OCT2023_0915_L2B_CMK_V01R00.h5,12473275
VECC,2021-12-25 01:00:00+00:00,2021-12-25 00:42:21+00:00,17.65,3RIMG_25DEC2021_0015_L2B_CMK_V01R00.h5,9840286
VIDP,2022-01-08 10:00:00+00:00,2022-01-08 09:12:20+00:00,47.666666666666664,3RIMG_08JAN2022_0845_L2B_CMK_V01R00.h5,9879239
VECC,2025-01-10 18:00:00+00:00,2025-01-10 17:12:28+00:00,47.53333333333333,3RIMG_10JAN2025_1645_L2B_CMK_V01R00.h5,14901601
VIDP,2024-12-27 18:00:00+00:00,2024-12-27 17:12:27+00:00,47.55,3RIMG_27DEC2024_1645_L2B_CMK_V01R00.h5,14833703
VIDP,2025-01-10 01:00:00+00:00,2025-01-09 23:42:29+00:00,77.51666666666667,3RIMG_09JAN2025_2315_L2B_CMK_V01R00.h5,14898193
VIDP,2024-05-07 02:00:00+00:00,2024-05-07 01:42:29+00:00,17.516666666666666,3RIMG_07MAY2024_0115_L2B_CMK_V01R00.h5,13523803
VOCI,2023-10-20 08:00:00+00:00,2023-10-20 06:42:23+00:00,77.61666666666666,3RIMG_20OCT2023_0615_L2B_CMK_V01R00.h5,12472515
VECC,2025-05-31 16:00:00+00:00,2025-05-31 15:42:29+00:00,17.516666666666666,3RIMG_31MAY2025_1515_L2B_CMK_V01R00.h5,15608231
VECC,2025-01-10 01:00:00+00:00,2025-01-09 23:42:29+00:00,77.51666666666667,3RIMG_09JAN2025_2315_L2B_CMK_V01R00.h5,14898193
VECC,2024-05-06 13:00:00+00:00,2024-05-06 11:42:29+00:00,77.51666666666667,3RIMG_06MAY2024_1115_L2B_CMK_V01R00.h5,13522375
VECC,2024-05-06 17:00:00+00:00,2024-05-06 16:42:30+00:00,17.5,3RIMG_06MAY2024_1615_L2B_CMK_V01R00.h5,13522893
VOTV,2023-11-04 00:00:00+00:00,2023-11-03 23:12:20+00:00,47.666666666666664,3RIMG_03NOV2023_2245_L2B_CMK_V01R00.h5,12555403
VECC,2022-01-07 22:00:00+00:00,2022-01-07 20:42:21+00:00,77.65,3RIMG_07JAN2022_2015_L2B_CMK_V01R00.h5,9878125
VOCI,2023-10-20 07:00:00+00:00,2023-10-20 06:42:23+00:00,17.616666666666667,3RIMG_20OCT2023_0615_L2B_CMK_V01R00.h5,12472515
VECC,2025-06-14 14:00:00+00:00,2025-06-14 12:42:30+00:00,77.5,3RIMG_14JUN2025_1215_L2B_CMK_V01R00.h5,15682305
