grain,event_id,station,case_type,event_start_utc,event_end_utc,period,target_timestamp_utc,hourly_timestamp_utc,sat_observation_time_utc,sat_acquisition_end_utc,sat_age_minutes,sat_cloud_mask_at_station,sat_cloud_mask_class,sat_cloudy_fraction_25km,sat_clear_fraction_25km,sat_valid_pixel_count_25km,sat_observation_available,gId,source_filename,in_phase8b_hourly_universe
scan,VABB_CTL_01_20190924T13,VABB,control,2019-09-10T13:00:00Z,2019-09-11T02:00:00Z,pre_event,2019-09-10T13:00:00Z,,2019-09-10T11:15:00Z,2019-09-10T11:42:04Z,77.933,1.0,Cloudy,1.0,0.0,108.0,1,7645400,3RIMG_10SEP2019_1115_L2B_CMK_V01R00.h5,False
scan,VABB_CTL_01_20190924T13,VABB,control,2019-09-10T13:00:00Z,2019-09-11T02:00:00Z,event,2019-09-10T13:00:00Z,,2019-09-10T14:15:00Z,2019-09-10T14:42:05Z,-102.083,1.0,Cloudy,1.0,0.0,108.0,1,7645746,3RIMG_10SEP2019_1415_L2B_CMK_V01R00.h5,False
scan,VABB_CTL_01_20190924T13,VABB,control,2019-09-10T13:00:00Z,2019-09-11T02:00:00Z,event,2019-09-10T13:00:00Z,,2019-09-10T16:15:00Z,2019-09-10T16:42:05Z,-222.083,1.0,Cloudy,1.0,0.0,108.0,1,7646006,3RIMG_10SEP2019_1615_L2B_CMK_V01R00.h5,False
scan,VABB_CTL_01_20190924T13,VABB,control,2019-09-10T13:00:00Z,2019-09-11T02:00:00Z,event,2019-09-10T13:00:00Z,,2019-09-10T23:15:00Z,2019-09-10T23:42:04Z,-642.067,3.0,Probably_Cloudy,0.8888888888888888,0.1111111111111111,108.0,1,7646289,3RIMG_10SEP2019_2315_L2B_CMK_V01R00.h5,False
scan,VABB_CTL_01_20190924T13,VABB,control,2019-09-10T13:00:00Z,2019-09-11T02:00:00Z,event,2019-09-10T13:00:00Z,,2019-09-11T01:15:00Z,2019-09-11T01:42:04Z,-762.067,3.0,Probably_Cloudy,0.7962962962962963,0.2037037037037037,108.0,1,7646554,3RIMG_11SEP2019_0115_L2B_CMK_V01R00.h5,False
scan,VABB_CTL_01_20190924T13,VABB,control,2019-09-10T13:00:00Z,2019-09-11T02:00:00Z,post_event,2019-09-10T13:00:00Z,,2019-09-11T03:45:00Z,2019-09-11T04:12:04Z,-912.067,1.0,Cloudy,1.0,0.0,108.0,1,7646834,3RIMG_11SEP2019_0345_L2B_CMK_V01R00.h5,False
scan,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,pre_event,2025-05-31T14:00:00Z,,2025-05-31T12:15:00Z,2025-05-31T12:42:29Z,77.517,0.0,Clear,0.2222222222222222,0.7777777777777778,108.0,1,15607679,3RIMG_31MAY2025_1215_L2B_CMK_V01R00.h5,True
scan,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T14:00:00Z,,2025-05-31T15:15:00Z,2025-05-31T15:42:29Z,-102.483,2.0,Probably_Clear,0.7314814814814815,0.2685185185185185,108.0,1,15608231,3RIMG_31MAY2025_1515_L2B_CMK_V01R00.h5,True
scan,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T14:00:00Z,,2025-05-31T17:15:00Z,2025-05-31T17:42:28Z,-222.467,2.0,Probably_Clear,0.7037037037037037,0.2962962962962963,108.0,1,15608589,3RIMG_31MAY2025_1715_L2B_CMK_V01R00.h5,True
scan,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T14:00:00Z,,2025-05-31T21:45:00Z,2025-05-31T22:12:28Z,-492.467,3.0,Probably_Cloudy,0.9722222222222222,0.0277777777777777,108.0,1,15609475,3RIMG_31MAY2025_2145_L2B_CMK_V01R00.h5,True
scan,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T14:00:00Z,,2025-05-31T23:45:00Z,2025-06-01T00:12:29Z,-612.483,3.0,Probably_Cloudy,0.9444444444444444,0.0555555555555555,108.0,1,15610011,3RIMG_31MAY2025_2345_L2B_CMK_V01R00.h5,True
scan,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,post_event,2025-05-31T14:00:00Z,,2025-06-01T02:45:00Z,2025-06-01T03:12:28Z,-792.467,2.0,Probably_Clear,0.6296296296296297,0.3703703703703703,108.0,1,15610591,3RIMG_01JUN2025_0245_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T14:00:00Z,2025-05-31T14:00:00Z,2025-05-31T12:15:00Z,2025-05-31T12:42:29Z,77.51666666666667,0.0,,0.2222222222222222,0.7777777777777778,108.0,1,15607679.0,3RIMG_31MAY2025_1215_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T15:00:00Z,2025-05-31T15:00:00Z,,,,,,,,,0,,,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T16:00:00Z,2025-05-31T16:00:00Z,2025-05-31T15:15:00Z,2025-05-31T15:42:29Z,17.516666666666666,2.0,,0.7314814814814815,0.2685185185185185,108.0,1,15608231.0,3RIMG_31MAY2025_1515_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T17:00:00Z,2025-05-31T17:00:00Z,2025-05-31T15:15:00Z,2025-05-31T15:42:29Z,77.51666666666667,2.0,,0.7314814814814815,0.2685185185185185,108.0,1,15608231.0,3RIMG_31MAY2025_1515_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T18:00:00Z,2025-05-31T18:00:00Z,2025-05-31T17:15:00Z,2025-05-31T17:42:28Z,17.533333333333335,2.0,,0.7037037037037037,0.2962962962962963,108.0,1,15608589.0,3RIMG_31MAY2025_1715_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T19:00:00Z,2025-05-31T19:00:00Z,2025-05-31T17:15:00Z,2025-05-31T17:42:28Z,77.53333333333333,2.0,,0.7037037037037037,0.2962962962962963,108.0,1,15608589.0,3RIMG_31MAY2025_1715_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T20:00:00Z,2025-05-31T20:00:00Z,,,,,,,,,0,,,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T21:00:00Z,2025-05-31T21:00:00Z,,,,,,,,,0,,,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T22:00:00Z,2025-05-31T22:00:00Z,,,,,,,,,0,,,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-05-31T23:00:00Z,2025-05-31T23:00:00Z,2025-05-31T21:45:00Z,2025-05-31T22:12:28Z,47.53333333333333,3.0,,0.9722222222222222,0.0277777777777777,108.0,1,15609475.0,3RIMG_31MAY2025_2145_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-06-01T00:00:00Z,2025-06-01T00:00:00Z,,,,,,,,,0,,,True
hourly_causal,VABB_CTL_03_20250614T14,VABB,control,2025-05-31T14:00:00Z,2025-06-01T01:00:00Z,event,2025-06-01T01:00:00Z,2025-06-01T01:00:00Z,2025-05-31T23:45:00Z,2025-06-01T00:12:29Z,47.516666666666666,3.0,,0.9444444444444444,0.0555555555555555,108.0,1,15610011.0,3RIMG_31MAY2025_2345_L2B_CMK_V01R00.h5,True
scan,VABB_TS_01_20190924T13,VABB,thunderstorm_episode,2019-09-24T13:00:00Z,2019-09-25T02:00:00Z,pre_event,2019-09-24T13:00:00Z,,2019-09-24T11:15:00Z,2019-09-24T11:19:26Z,100.567,1.0,Cloudy,1.0,0.0,108.0,1,7679852,3RIMG_24SEP2019_1115_L2B_CMK_V01R00.h5,False
scan,VABB_TS_01_20190924T13,VABB,thunderstorm_episode,2019-09-24T13:00:00Z,2019-09-25T02:00:00Z,event,2019-09-24T13:00:00Z,,2019-09-24T14:15:00Z,2019-09-24T14:19:26Z,-79.433,1.0,Cloudy,1.0,0.0,108.0,1,7680258,3RIMG_24SEP2019_1415_L2B_CMK_V01R00.h5,False
scan,VABB_TS_01_20190924T13,VABB,thunderstorm_episode,2019-09-24T13:00:00Z,2019-09-25T02:00:00Z,event,2019-09-24T13:00:00Z,,2019-09-24T22:32:00Z,2019-09-24T22:36:48Z,-576.8,1.0,Cloudy,1.0,0.0,108.0,1,7682309,3RIMG_24SEP2019_2232_L2B_CMK_V01R00.h5,False
scan,VABB_TS_01_20190924T13,VABB,thunderstorm_episode,2019-09-24T13:00:00Z,2019-09-25T02:00:00Z,event,2019-09-24T13:00:00Z,,2019-09-25T01:36:00Z,2019-09-25T01:42:15Z,-762.25,1.0,Cloudy,1.0,0.0,108.0,1,7681358,3RIMG_25SEP2019_0136_L2B_CMK_V01R00.h5,False
