station,event_id,case_type,n_scan_rows,n_scan_pre_event,n_scan_event,n_scan_post_event,scan_mean_cloudy_fraction,scan_mean_clear_fraction,scan_cmk_mode,in_hourly_universe,n_hourly_rows,n_hourly_matched,hourly_mean_cloudy_fraction,hourly_mean_clear_fraction
VABB,VABB_CTL_01_20190924T13,control,6,1,4,1,0.9475308641975309,0.052469135802469126,1,False,0,0,,
VABB,VABB_CTL_03_20250614T14,control,6,1,4,1,0.7006172839506174,0.29938271604938266,2,True,12,7,17.6031746031746,17.6031746031746
VABB,VABB_TS_01_20190924T13,thunderstorm_episode,5,1,3,1,1.0,0.0,1,False,0,0,,
VABB,VABB_TS_03_20250614T14,thunderstorm_episode,6,1,4,1,1.0,0.0,1,True,12,8,16.165277777777778,16.165277777777778
VECC,VECC_CTL_01_20170619T10,control,6,1,4,1,0.7993197278911565,0.20068027210884354,1,False,0,0,,
VECC,VECC_CTL_04_20240506T13,control,6,1,3,2,0.45408163265306123,0.5459183673469387,3,True,13,5,18.17,18.17
VECC,VECC_TS_01_20170619T10,thunderstorm_episode,6,1,4,1,1.0,0.0,1,False,0,0,,
VECC,VECC_TS_04_20240506T13,thunderstorm_episode,6,1,3,2,1.0,0.0,1,True,13,7,17.596031746031745,17.596031746031745
VIDP,VIDP_CTL_02_20241227T01,control,6,1,4,1,0.15986394557823128,0.8401360544217688,2,True,15,5,18.17222222222222,18.17222222222222
VIDP,VIDP_CTL_03_20220107T19,control,6,1,3,2,0.00680272108843535,0.9931972789115645,2,True,13,7,17.6468253968254,17.6468253968254
VIDP,VIDP_TS_02_20241227T01,thunderstorm_episode,6,1,4,1,0.9914965986394558,0.008503401360544217,1,True,15,8,16.180555555555554,16.180555555555554
VIDP,VIDP_TS_03_20220107T19,thunderstorm_episode,6,1,4,1,1.0,0.0,1,True,13,8,16.22013888888889,16.22013888888889
VOCI,VOCI_CTL_02_20231103T08,control,6,1,4,1,0.2629310344827586,0.7370689655172414,0,True,14,9,17.317901234567902,17.317901234567902
VOCI,VOCI_CTL_03_20190808T03,control,6,1,4,1,0.9094827586206896,0.09051724137931033,1,False,0,0,,
VOCI,VOCI_TS_02_20231103T08,thunderstorm_episode,6,1,4,1,0.8850574712643677,0.1149425287356322,1,True,14,9,17.3320987654321,17.3320987654321
VOCI,VOCI_TS_03_20190808T03,thunderstorm_episode,6,1,4,1,1.0,0.0,1,False,0,0,,
VOTV,VOTV_CTL_02_20180730T19,control,6,1,4,1,0.9793388429752067,0.020661157024793382,1,False,0,0,,
VOTV,VOTV_CTL_03_20170518T08,control,6,1,4,1,0.15702479338842973,0.8429752066115702,0,False,0,0,,
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,6,1,4,1,1.0,0.0,1,False,0,0,,
VOTV,VOTV_TS_03_20170518T08,thunderstorm_episode,6,1,4,1,1.0,0.0,1,False,0,0,,
