case_id,station,case_type,number_of_satellite_observations,mean_cloudy_fraction,minimum_cloudy_fraction,maximum_cloudy_fraction,baseline_risk_min_1h,baseline_risk_max_1h,target_positive_hours_1h,target_negative_hours_1h,mean_sat_minus_nwp_cloud
VABB_CTL_03_20250614T14,VABB,control,7,0.7156084656084657,0.2222222222222222,0.9722222222222222,0.01,0.065,0,7,-0.28439153439153436
VABB_TS_03_20250614T14,VABB,thunderstorm_episode,8,1.0,1.0,1.0,0.1,0.26,7,1,0.0
VECC_CTL_04_20240506T13,VECC,control,5,0.463265306122449,0.2244897959183673,0.8061224489795918,0.0,0.015,0,5,-0.4967346938775511
VECC_TS_04_20240506T13,VECC,thunderstorm_episode,7,1.0,1.0,1.0,0.01,0.09,6,1,0.3314285714285714
VIDP_CTL_02_20241227T01,VIDP,control,5,0.1877551020408163,0.0,0.8163265306122449,0.0,0.0,0,5,0.1877551020408163
VIDP_CTL_03_20220107T19,VIDP,control,7,0.0,0.0,0.0,0.0,0.0,0,7,0.0
VIDP_TS_02_20241227T01,VIDP,thunderstorm_episode,8,1.0,1.0,1.0,0.03,0.08,6,2,0.11624999999999999
VIDP_TS_03_20220107T19,VIDP,thunderstorm_episode,8,1.0,1.0,1.0,0.085,0.855,7,1,0.039999999999999994
VOCI_CTL_02_20231103T08,VOCI,control,9,0.13793103448275856,0.043103448275862,0.25,0.015,0.26,0,9,-0.6865134099616859
VOCI_TS_02_20231103T08,VOCI,thunderstorm_episode,9,0.9003831417624522,0.5172413793103449,1.0,0.035,0.37,9,0,-0.09961685823754789
