feature,feature_group,rf_impurity_importance,rf_impurity_rank,permutation_importance_mean,permutation_importance_std,permutation_importance_rank,rf_impurity_share_percent
precipitation_roll_sum_6h,historical_rolling,0.1102830047,1,0.03870573707,0.005584542194,1,11.02830047
precipitation_roll_sum_3h,historical_rolling,0.08107365324,2,0.02942596178,0.007615596874,3,8.107365324
wind_speed_roll_mean_3h,historical_rolling,0.05298796329,3,0.01843886688,0.002906205128,6,5.298796329
month_sin,cyclic_time,0.04726033517,4,0.02817640911,0.007701682386,4,4.726033517
wind_speed_10m,current_atmospheric,0.04596600723,5,0.01267630193,0.003540425957,10,4.596600723
month_cos,cyclic_time,0.04285306046,6,0.01516651209,0.003798481758,8,4.285306046
hour_cos,cyclic_time,0.04121215573,7,0.02044001607,0.006070810696,5,4.121215573
temperature_roll_mean_3h,historical_rolling,0.03997584349,8,0.03471116256,0.006001851999,2,3.997584349
wind_direction_cos,wind_direction_cyclic,0.0398220521,9,0.004360233978,0.00146572772,20,3.98220521
precipitation,current_atmospheric,0.03975759014,10,0.01245790184,0.003202100194,11,3.975759014
cloud_cover,current_atmospheric,0.03593022193,11,0.01747778112,0.005392791662,7,3.593022193
humidity_roll_mean_3h,historical_rolling,0.03074852537,12,0.006076299866,0.006218395252,17,3.074852537
relative_humidity_2m,current_atmospheric,0.03019089,13,0.008716032137,0.003687022796,14,3.019089
temperature_change_3h,temporal_change,0.02929585447,14,0.01191629371,0.003100936413,12,2.929585447
pressure_roll_mean_3h,historical_rolling,0.02842917692,15,-0.0007523444439,0.003226540192,26,2.842917692
surface_pressure,current_atmospheric,0.02836630247,16,0.004372579081,0.005301840618,18,2.836630247
temperature_2m,current_atmospheric,0.02826483052,17,0.007525674983,0.003969866058,16,2.826483052
pressure_change_3h,temporal_change,0.02755538878,18,0.009406016972,0.004972481713,13,2.755538878
wind_direction_sin,wind_direction_cyclic,0.0274082641,19,0.003532085541,0.004614072757,22,2.74082641
humidity_change_3h,temporal_change,0.02674115768,20,0.01281554841,0.0025623428,9,2.674115768
precipitation_change_3h,temporal_change,0.02617713313,21,-0.002829824541,0.00114920155,28,2.617713313
wind_speed_change_3h,temporal_change,0.02447911611,22,0.004367555542,0.00258205457,19,2.447911611
pressure_change_1h,temporal_change,0.02308142286,23,0.001081174577,0.005508157452,24,2.308142286
humidity_change_1h,temporal_change,0.02198932297,24,0.002466871193,0.001861766432,23,2.198932297
wind_speed_change_1h,temporal_change,0.02138152473,25,0.003650677207,0.001312139215,21,2.138152473
temperature_change_1h,temporal_change,0.01960577106,26,-0.0002573185364,0.002891047656,25,1.960577106
precipitation_change_1h,temporal_change,0.01539790799,27,-0.001371693632,0.000976800936,27,1.539790799
hour_sin,cyclic_time,0.01376552338,28,0.00856459472,0.003550777079,15,1.376552338
