feature,impurity_importance
precipitation_roll_sum_12h,0.07554532762418473
precipitation_roll_sum_6h,0.05937289547047583
precipitation_roll_sum_3h,0.04890694561096604
precipitation_roll_sum_24h,0.04283902822848549
cloud_cover_roll_mean_6h,0.0259240653212139
temperature_lag_6h,0.025773098066485138
cloud_cover_roll_mean_3h,0.020967844143033588
precipitation_lag_3h,0.01948287859611188
cloud_cover,0.019358262010138065
temperature_lag_3h,0.018754629909813834
precipitation_lag_1h,0.018610326817397785
month_cos,0.018567644869970684
wind_u_10m,0.016409156338216522
cloud_cover_lag_12h,0.015026106363937383
temperature_lag_12h,0.01434647703002902
temperature_roll_mean_6h,0.014110809695953349
pressure_lag_24h,0.013591788197167682
wind_speed_lag_12h,0.013026546006906881
wind_speed_roll_mean_6h,0.012858753628846727
humidity_lag_6h,0.012855867256987957
humidity_lag_12h,0.0125909267798643
wind_direction_sin,0.012424006641920999
wind_speed_lag_6h,0.012379143330338526
temperature_lag_24h,0.012372012172524234
hour_cos,0.012226043460594718
cloud_cover_lag_1h,0.012148553935181392
wind_v_10m,0.01208039609874659
wind_speed_lag_24h,0.012025598596880823
temperature_change_3h,0.012023712285461034
humidity_change_3h,0.011738438957844401
pressure_roll_mean_6h,0.011536918928156427
pressure_lag_6h,0.011492090878891258
humidity_lag_24h,0.01138542950982994
pressure_lag_3h,0.011114128793180644
wind_direction_cos,0.011090903835231546
pressure_lag_12h,0.01082580266053682
humidity_roll_mean_6h,0.010718402556612092
month_sin,0.010685414494840331
pressure_change_3h,0.010680793741382687
wind_speed_roll_mean_3h,0.010643528831988248
humidity_lag_3h,0.010513386593954092
precipitation,0.010297114941932979
wind_speed_lag_3h,0.010159771971705015
humidity_roll_mean_3h,0.010124716279810875
relative_humidity_2m,0.010052848562770701
pressure_change_1h,0.009969506759124155
humidity_lag_1h,0.00996469867456491
temperature_2m,0.009848013961191051
cloud_cover_lag_6h,0.009819997382207214
temperature_roll_mean_3h,0.009733603375253903
wind_speed_change_3h,0.009733593259961088
pressure_lag_1h,0.00965454022189816
surface_pressure,0.00965390883144694
pressure_roll_mean_3h,0.00942917721053127
temperature_lag_1h,0.009170709855664117
wind_speed_10m,0.00915840110546262
wind_speed_change_1h,0.00910228559072921
wind_speed_lag_1h,0.008937282196202522
humidity_change_1h,0.008737890890873434
precipitation_lag_6h,0.008706603372368414
cloud_cover_lag_3h,0.008682644487499095
cloud_cover_lag_24h,0.008386152057923178
temperature_change_1h,0.008323348155538769
cloud_cover_change_3h,0.008291578711587328
precipitation_change_3h,0.007027726265734235
cloud_cover_change_1h,0.006742929198304406
precipitation_change_1h,0.0058121243170483556
precipitation_lag_12h,0.0052956415068298275
precipitation_lag_24h,0.005091824382642107
hour_sin,0.005067282202910696
