feature,impurity_importance
precipitation_roll_sum_6h,0.06282373175822271
precipitation_roll_sum_12h,0.0614765261287485
precipitation_roll_sum_3h,0.05220175060128796
precipitation_roll_sum_24h,0.0475178408147539
temperature_lag_6h,0.02439151322787463
cloud_cover_roll_mean_6h,0.021679753206871693
precipitation_lag_1h,0.02153017979303546
cloud_cover_lag_3h,0.019452801812515217
cloud_cover_roll_mean_3h,0.019377698141740944
temperature_lag_3h,0.018262241827423774
cloud_cover,0.016521559692683555
wind_u_10m,0.015979866516876447
cloud_cover_lag_1h,0.01533012682732016
temperature_roll_mean_6h,0.01423517482537231
month_cos,0.014007625673112615
humidity_lag_12h,0.01356149219712411
temperature_lag_12h,0.013449097633923473
precipitation,0.013373131756201445
humidity_lag_6h,0.01291322709381954
wind_speed_lag_12h,0.012818286743441069
pressure_lag_24h,0.012799198208643113
wind_speed_roll_mean_6h,0.012604720481583587
temperature_lag_24h,0.012496767777410904
temperature_change_3h,0.012421721603960186
hour_cos,0.012249597552031553
wind_speed_lag_6h,0.012191607228724562
wind_direction_sin,0.012118570427559136
wind_speed_lag_24h,0.011926370282950714
wind_v_10m,0.011915733445135293
pressure_lag_6h,0.011416967306080347
wind_direction_cos,0.011371473797833823
humidity_lag_24h,0.011350636026478329
relative_humidity_2m,0.011272712323651153
precipitation_lag_6h,0.011067596608687096
humidity_change_3h,0.010952101426098265
cloud_cover_lag_6h,0.010852274364285184
humidity_lag_3h,0.01082377263264662
pressure_roll_mean_6h,0.010676674838391312
wind_speed_lag_3h,0.01061985542675242
humidity_roll_mean_6h,0.010371360189655857
precipitation_lag_3h,0.010310415182488344
longitude,0.010287232214789381
pressure_lag_12h,0.010239615601263654
wind_speed_roll_mean_3h,0.010151875097852687
pressure_lag_3h,0.010093076215670061
pressure_change_3h,0.010066666974817258
temperature_roll_mean_3h,0.009983577274305325
pressure_change_1h,0.009958577731135556
cloud_cover_lag_12h,0.009820026510422275
month_sin,0.009784922914663272
pressure_lag_1h,0.009735758499486828
humidity_roll_mean_3h,0.009421178414785856
wind_speed_change_3h,0.009393611248467949
pressure_roll_mean_3h,0.009374897455570961
surface_pressure,0.00930551791962035
wind_speed_lag_1h,0.00926138559033711
temperature_lag_1h,0.009116890268857904
temperature_2m,0.009023116781275417
wind_speed_10m,0.008798892077586417
wind_speed_change_1h,0.008759745762534748
humidity_change_1h,0.008697823956394592
humidity_lag_1h,0.008619900096725698
temperature_change_1h,0.008513675501620991
cloud_cover_lag_24h,0.008472381495195164
cloud_cover_change_3h,0.007958470097449818
precipitation_change_3h,0.007835267340797168
cloud_cover_change_1h,0.006639767282988549
precipitation_change_1h,0.005557346446180637
hour_sin,0.005424584879666952
precipitation_lag_24h,0.005294408143604151
latitude,0.0052678798303029545
precipitation_lag_12h,0.005040668252011095
elevation_m,0.0013875087202216885
