held_out_station,lead,n_test,positives_test,threshold,pr_auc,roc_auc,f2,alert_rate
VOTV,target_1h,12899,509,0.065,0.21986456380612893,0.8301052404578761,0.35064059339177345,0.07209861229552679
VOTV,target_2h,12898,509,0.06,0.2056952791669106,0.8287596211925752,0.3490286466908133,0.077608931617305
VOTV,target_3h,12897,509,0.06,0.19581621044574954,0.8286778414753362,0.3555341055341055,0.08312010545088006
VECC,target_1h,15627,637,0.07,0.10589642338693608,0.8006999433426576,0.30514770918096584,0.19869456709541178
VECC,target_2h,15626,637,0.06,0.09799276807094902,0.7878282901966938,0.29807850221711285,0.2266094969921925
VECC,target_3h,15625,637,0.07,0.10091698983931706,0.783793701627969,0.2915476390522601,0.217792
VIDP,target_1h,15269,364,0.08,0.0548957868584255,0.7344214825764641,0.18611111111111112,0.14041522038116444
VIDP,target_2h,15268,364,0.085,0.032346277732793555,0.5729456064600993,0.13274336283185842,0.33390096934765523
VIDP,target_3h,15267,364,0.075,0.038268477830323916,0.5876479254490393,0.12879829936226084,0.42844042706491126
VOCI,target_1h,14535,361,0.075,0.06649617607731735,0.7827086347090202,0.23193841294907225,0.24919160646714827
VOCI,target_2h,14534,361,0.065,0.06333405676252585,0.7753747566917941,0.21867921240634255,0.29551396724920875
VOCI,target_3h,14533,361,0.075,0.06272478386995883,0.7656185619805116,0.21712785295899817,0.24131287414848965
VABB,target_1h,15364,301,0.065,0.07281484456722818,0.8462755430514101,0.22573569731310547,0.2777271543868784
VABB,target_2h,15363,301,0.065,0.0589738212292154,0.8227310505282485,0.21089023336214346,0.29818394844756885
VABB,target_3h,15362,301,0.06,0.055576337058125744,0.811797141238035,0.1983163347903513,0.3237208696784273
