feature,impurity_importance
precipitation_roll_sum_12h,0.05838270499484973
precipitation_roll_sum_6h,0.05724851967794108
precipitation_roll_sum_3h,0.05314000586162027
precipitation_roll_sum_24h,0.04261104010222021
temperature_lag_3h,0.021129562190832177
temperature_roll_mean_6h,0.020199392483800805
cloud_cover_lag_3h,0.020152498600720308
cloud_cover_roll_mean_3h,0.019853043952268806
precipitation_lag_1h,0.019716544957759957
temperature_lag_6h,0.019545545430227587
cloud_cover_roll_mean_6h,0.019520672513102032
precipitation,0.019113095224278943
cloud_cover,0.01747065580439634
cloud_cover_lag_1h,0.017283647075042926
month_cos,0.01575066615354126
wind_u_10m,0.01544390054200955
humidity_lag_12h,0.014045026538256082
temperature_lag_24h,0.013838323751344911
pressure_lag_24h,0.013169089133145715
wind_speed_lag_12h,0.012802583681818176
temperature_lag_12h,0.012643688256181148
wind_v_10m,0.012607253497108775
temperature_roll_mean_3h,0.012527960762126143
wind_speed_roll_mean_6h,0.012479911930574496
wind_speed_lag_24h,0.012436583043325495
wind_direction_sin,0.01239999716512207
wind_speed_lag_6h,0.012155083143506778
pressure_lag_6h,0.011460295721867719
wind_direction_cos,0.011369303473466479
humidity_lag_6h,0.01133097434297217
temperature_lag_1h,0.011231218169785335
humidity_lag_24h,0.010988323601212813
wind_speed_roll_mean_3h,0.010897332926440828
humidity_lag_3h,0.010873874232376998
cloud_cover_lag_24h,0.010820321180163574
pressure_lag_12h,0.010760765941378925
humidity_change_3h,0.010674858924120177
pressure_roll_mean_6h,0.010637950542656632
wind_speed_lag_3h,0.010589310749287794
humidity_roll_mean_6h,0.01048663202524393
relative_humidity_2m,0.010310027708222006
temperature_change_3h,0.010243448058666576
pressure_lag_3h,0.010224568005206387
cloud_cover_lag_12h,0.010217914058182138
precipitation_lag_3h,0.010157106221338585
cloud_cover_lag_6h,0.010063357913114024
longitude,0.009997401412859666
pressure_lag_1h,0.009972689619666531
pressure_change_3h,0.009935097247991265
hour_cos,0.009878602023045973
surface_pressure,0.00983011184643507
pressure_change_1h,0.0097823839260787
temperature_2m,0.009713149731091887
pressure_roll_mean_3h,0.009712010881459194
humidity_roll_mean_3h,0.009601305831497467
month_sin,0.00950242822503826
wind_speed_lag_1h,0.00930213636796498
wind_speed_change_3h,0.00929769071785532
wind_speed_10m,0.009276990257953604
humidity_lag_1h,0.009137510222836204
wind_speed_change_1h,0.00906250899545221
precipitation_change_3h,0.00896999524255655
humidity_change_1h,0.008904626782174496
temperature_change_1h,0.008207693817163424
cloud_cover_change_3h,0.008054019737933482
cloud_cover_change_1h,0.007003928523792982
precipitation_lag_6h,0.006375063971790614
precipitation_change_1h,0.005713593828597914
latitude,0.005446085400911902
precipitation_lag_24h,0.0052366446256758336
hour_sin,0.0050129264089795135
precipitation_lag_12h,0.004807428005348864
elevation_m,0.0012613960850232574
