lead,station,n_test,positives,threshold_C,pr_auc,roc_auc,precision,recall,f1,f2,alert_rate
target_1h,VOTV,12899,509,0.065,0.23700941089509872,0.8660621326216877,0.14929467084639497,0.7485265225933202,0.24893825547206797,0.41521360069747165,0.1978447941700907
target_1h,VECC,15627,637,0.065,0.12673920559049204,0.8238174481574845,0.11108427915962328,0.7221350078492935,0.19254918375889493,0.3438481088354014,0.2649900812695975
target_1h,VIDP,15269,364,0.065,0.07212260364930412,0.8126330311754666,0.08838568298027757,0.3324175824175824,0.13964223889209462,0.21415929203539824,0.08965878577509988
target_1h,VOCI,14535,361,0.065,0.15000765182907305,0.8161683227101865,0.09912536443148688,0.5650969529085873,0.16866473749483257,0.2912621359223301,0.14158926728586171
target_1h,VABB,15364,301,0.065,0.12260850326868718,0.8994470179840461,0.09959257582616568,0.7308970099667774,0.1752988047808765,0.32229709932610606,0.14377766206717002
target_2h,VOTV,12898,509,0.065,0.23158930014633122,0.8708218568312945,0.14570552147239263,0.7465618860510805,0.2438241899262111,0.409130060292851,0.2022018917661653
target_2h,VECC,15626,637,0.065,0.12099208679207035,0.812735723622755,0.10572282233969202,0.7221350078492935,0.18444266238973536,0.3333816495144224,0.27844617944451555
target_2h,VIDP,15268,364,0.065,0.0666499721186167,0.8026006551821769,0.07005494505494506,0.2802197802197802,0.11208791208791209,0.17513736263736263,0.09536285040607807
target_2h,VOCI,14534,361,0.065,0.12775983835937704,0.8185461686054772,0.1017632241813602,0.5595567867036011,0.17220801364023872,0.29454651501895596,0.13657630383927344
target_2h,VABB,15363,301,0.065,0.1083062060438319,0.8932995004920967,0.09286675639300135,0.6877076411960132,0.16363636363636364,0.301485581124381,0.1450888498340168
target_3h,VOTV,12897,509,0.07,0.20761941201551495,0.8598791339359404,0.14629948364888123,0.6679764243614931,0.2400282386163078,0.38990825688073394,0.18019694502597502
target_3h,VECC,15625,637,0.07,0.1255444535943111,0.8133948812634618,0.10677764565992866,0.7048665620094191,0.18546055349029328,0.3324448393306679,0.26912
target_3h,VIDP,15267,364,0.07,0.06249134792871777,0.7913431767186045,0.06995230524642289,0.24175824175824176,0.10850801479654747,0.16212232866617537,0.0823999475993974
target_3h,VOCI,14533,361,0.07,0.11828657923828811,0.8162030706250005,0.10114107883817428,0.5401662049861495,0.17038007863695936,0.2891459074733096,0.13266359320167895
target_3h,VABB,15362,301,0.07,0.10855237870751006,0.8911264732722587,0.0984251968503937,0.6644518272425249,0.17145306472353194,0.30902348578491967,0.1322744434318448
