station_id,lead,n,positive_count,negative_count,positive_rate,PR-AUC,ROC-AUC,precision,recall,F1,F2,alert_rate,TP,FP,FN,TN,threshold
VOTV,1h,5561,214,5347,0.03848228735838878,0.5826328145944972,0.9211510865556545,0.20506912442396313,0.8317757009345794,0.3290203327171904,0.5162412993039444,0.15608703470598814,178,690,36,4657,0.065
VOTV,2h,5565,231,5334,0.04150943396226415,0.5707303994310541,0.9334734132259441,0.22183098591549297,0.8181818181818182,0.3490304709141274,0.5320945945945946,0.15309973045822103,189,663,42,4671,0.065
VOTV,3h,5350,250,5100,0.04672897196261682,0.6406986034418324,0.9339117647058823,0.23815028901734103,0.824,0.3695067264573991,0.5522788203753352,0.1616822429906542,206,659,44,4441,0.065
VECC,1h,6776,283,6493,0.04176505312868949,0.4597419744029992,0.9005713682416345,0.1510204081632653,0.784452296819788,0.253280091272105,0.4265949269792467,0.21694214876033058,222,1248,61,5245,0.065
VECC,2h,6770,299,6471,0.04416543574593796,0.4729392799825964,0.9011718865078,0.1659779614325069,0.8060200668896321,0.2752712735579669,0.4550604229607251,0.21447562776957163,241,1211,58,5260,0.065
VECC,3h,6757,260,6497,0.03847861476986828,0.4755323945229314,0.9006248446028344,0.13564875491480996,0.7961538461538461,0.23180291153415453,0.4033515198752923,0.22583986976468848,207,1319,53,5178,0.065
VIDP,1h,6674,161,6513,0.02412346418939167,0.34778262060139403,0.8747025776445199,0.17926565874730022,0.515527950310559,0.266025641025641,0.3748870822041554,0.06937368894216361,83,380,78,6133,0.065
VIDP,2h,6663,170,6493,0.0255140327179949,0.32960794974597507,0.873105878729129,0.15169660678642716,0.4470588235294118,0.22652757078986588,0.32176121930567314,0.07519135524538496,76,425,94,6068,0.065
VIDP,3h,6647,165,6482,0.024823228524146233,0.3197594132447241,0.8625288678204445,0.14570858283433133,0.44242424242424244,0.21921921921921922,0.3143841515934539,0.0753723484278622,73,428,92,6054,0.065
VOCI,1h,6237,168,6069,0.026936026936026935,0.4763524953111847,0.9098428587121123,0.15575916230366493,0.7083333333333334,0.2553648068669528,0.41434540389972147,0.12249478916145583,119,645,49,5424,0.065
VOCI,2h,6184,151,6033,0.024417852522639068,0.4888225193039991,0.9117074632567237,0.15384615384615385,0.6887417218543046,0.25151148730350664,0.40625,0.1093143596377749,104,572,47,5461,0.065
VOCI,3h,6151,146,6005,0.02373597788977402,0.4814294140890794,0.8953714370444722,0.13478818998716302,0.7191780821917808,0.22702702702702704,0.38517975055025677,0.12664607380913673,105,674,41,5331,0.065
VABB,1h,6701,120,6581,0.01790777495896135,0.5065066337592234,0.9409980752671833,0.13636363636363635,0.775,0.23192019950124687,0.40017211703958694,0.101775854350097,93,589,27,5992,0.065
VABB,2h,6694,118,6576,0.017627726322079474,0.4680969838541684,0.9458489267598664,0.13450292397660818,0.7796610169491526,0.22942643391521197,0.39792387543252594,0.10218105766357932,92,592,26,5984,0.065
VABB,3h,6676,131,6545,0.01962252846015578,0.4821984247847006,0.9439010024551111,0.1430615164520744,0.7633587786259542,0.24096385542168675,0.4088307440719542,0.10470341521869383,100,599,31,5946,0.065
