lead,grain,period,valid_cases,positive_cases,positive_rate,alerts,alert_rate,TP,FP,FN,TN
1h,month_of_year,01,2340,13,0.005555555555555556,38,0.01623931623931624,8,30,5,2297
1h,month_of_year,02,2123,14,0.00659444182760245,24,0.011304757418747056,11,13,3,2096
1h,month_of_year,03,2302,32,0.013900955690703735,126,0.05473501303214596,14,112,18,2158
1h,month_of_year,04,2698,107,0.0396590066716086,323,0.11971830985915492,86,237,21,2354
1h,month_of_year,05,2905,163,0.05611015490533563,541,0.18623063683304647,124,417,39,2325
1h,month_of_year,06,2850,122,0.04280701754385965,713,0.2501754385964912,87,626,35,2102
1h,month_of_year,07,2983,97,0.03251759973181361,600,0.2011397921555481,69,531,28,2355
1h,month_of_year,08,2911,83,0.028512538646513225,556,0.19099965647543798,60,496,23,2332
1h,month_of_year,09,2780,109,0.03920863309352518,600,0.2158273381294964,75,525,34,2146
1h,month_of_year,10,2902,134,0.0461750516884907,492,0.1695382494831151,111,381,23,2387
1h,month_of_year,11,2838,61,0.02149400986610289,192,0.06765327695560254,45,147,16,2630
1h,month_of_year,12,2317,11,0.004747518342684506,42,0.01812688821752266,5,37,6,2269
1h,year_month,2021-04,539,23,0.04267161410018553,45,0.08348794063079777,23,22,0,494
1h,year_month,2021-05,571,48,0.0840630472854641,83,0.14535901926444833,48,35,0,488
1h,year_month,2021-06,567,35,0.06172839506172839,57,0.10052910052910052,35,22,0,510
1h,year_month,2021-07,595,26,0.043697478991596636,55,0.09243697478991597,26,29,0,540
1h,year_month,2021-08,586,15,0.025597269624573378,37,0.06313993174061433,15,22,0,549
1h,year_month,2021-09,562,24,0.042704626334519574,53,0.09430604982206406,24,29,0,509
1h,year_month,2021-10,582,42,0.07216494845360824,67,0.11512027491408934,42,25,0,515
1h,year_month,2021-11,576,9,0.015625,15,0.026041666666666668,9,6,0,561
1h,year_month,2021-12,559,2,0.0035778175313059034,9,0.016100178890876567,2,7,0,550
1h,year_month,2022-01,568,4,0.007042253521126761,5,0.008802816901408451,4,1,0,563
1h,year_month,2022-02,510,8,0.01568627450980392,10,0.0196078431372549,8,2,0,500
1h,year_month,2022-03,561,5,0.008912655971479501,10,0.017825311942959002,5,5,0,551
1h,year_month,2022-04,556,20,0.03597122302158273,48,0.08633093525179857,20,28,0,508
1h,year_month,2022-05,588,20,0.034013605442176874,47,0.07993197278911565,20,27,0,541
1h,year_month,2022-06,544,24,0.04411764705882353,173,0.3180147058823529,18,155,6,365
1h,year_month,2022-07,583,19,0.032590051457975985,125,0.2144082332761578,10,115,9,449
1h,year_month,2022-08,577,16,0.02772963604852686,130,0.22530329289428075,10,120,6,441
1h,year_month,2022-09,543,24,0.04419889502762431,133,0.24493554327808473,19,114,5,405
1h,year_month,2022-10,569,15,0.026362038664323375,111,0.19507908611599298,11,100,4,454
1h,year_month,2022-11,543,7,0.01289134438305709,37,0.06813996316758748,6,31,1,505
1h,year_month,2022-12,311,1,0.003215434083601286,7,0.022508038585209004,1,6,0,304
1h,year_month,2023-01,579,3,0.0051813471502590676,8,0.013816925734024179,1,7,2,569
1h,year_month,2023-02,524,0,0.0,0,0.0,0,0,0,524
1h,year_month,2023-03,570,14,0.02456140350877193,44,0.07719298245614035,2,42,12,514
1h,year_month,2023-04,516,17,0.03294573643410853,49,0.09496124031007752,12,37,5,462
1h,year_month,2023-05,565,33,0.0584070796460177,120,0.21238938053097345,21,99,12,433
