lead,bin,n,positive_count,positive_rate,alert_count
1h,"[0.000, 0.025)",22220,83,0.0037353735373537355,0
1h,"[0.025, 0.050)",4218,101,0.023944997629208157,0
1h,"[0.050, 0.065)",1264,67,0.05300632911392405,0
1h,"[0.065, 0.100)",1770,119,0.0672316384180791,1770
1h,"[0.100, 0.200)",1659,208,0.12537673297166968,1659
1h,"[0.200, 0.500)",533,85,0.15947467166979362,533
1h,"[0.500, 1.000]",285,283,0.9929824561403509,285
2h,"[0.000, 0.025)",21944,61,0.0027798031352533723,0
2h,"[0.025, 0.050)",4355,118,0.027095292766934558,0
2h,"[0.050, 0.065)",1412,88,0.06232294617563739,0
2h,"[0.065, 0.100)",1861,147,0.07898979043524987,1861
2h,"[0.100, 0.200)",1600,197,0.123125,1600
2h,"[0.200, 0.500)",426,82,0.19248826291079812,426
2h,"[0.500, 1.000]",278,276,0.9928057553956835,278
3h,"[0.000, 0.025)",21462,69,0.003214984623986581,0
3h,"[0.025, 0.050)",4293,117,0.027253668763102725,0
3h,"[0.050, 0.065)",1456,75,0.05151098901098901,0
3h,"[0.065, 0.100)",1972,142,0.0720081135902637,1972
3h,"[0.100, 0.200)",1714,164,0.09568261376896149,1714
3h,"[0.200, 0.500)",391,98,0.2506393861892583,391
3h,"[0.500, 1.000]",293,287,0.9795221843003413,293
