lead,classification,station_id,prediction_timestamp_utc,probability,threshold,alert,target,distance_from_threshold,status
1h,TP,VABB,2021-04-27T18:00:00+00:00,0.595,0.065,1,1,,ok
1h,FP,VABB,2021-07-08T00:00:00+00:00,0.065,0.065,1,0,0.0,ok
1h,FN,VABB,2024-06-11T00:00:00+00:00,0.06,0.065,0,1,-0.0050000000000000044,ok
1h,TN,VABB,2021-04-02T00:00:00+00:00,0.0,0.065,0,0,,ok
2h,TP,VABB,2021-05-17T06:00:00+00:00,0.875,0.065,1,1,,ok
2h,FP,VABB,2021-06-01T18:00:00+00:00,0.065,0.065,1,0,0.0,ok
2h,FN,VABB,2025-10-21T12:00:00+00:00,0.06,0.065,0,1,-0.0050000000000000044,ok
2h,TN,VABB,2021-04-02T00:00:00+00:00,0.0,0.065,0,0,,ok
3h,TP,VABB,2021-04-10T12:00:00+00:00,0.705,0.065,1,1,,ok
3h,FP,VABB,2021-05-30T18:00:00+00:00,0.065,0.065,1,0,0.0,ok
3h,FN,VABB,2025-05-12T12:00:00+00:00,0.06,0.065,0,1,-0.0050000000000000044,ok
3h,TN,VABB,2021-04-02T00:00:00+00:00,0.0,0.065,0,0,,ok
