year,lead,valid_cases,positive_cases,positive_rate,alerts,alert_rate,TP,FP,FN,TN
2021,1h,5137,224,0.043605217052754525,421,0.08195444812147168,224,197,0,4716
2022,1h,6453,163,0.025259569192623586,836,0.12955214628854797,132,704,31,5586
2023,1h,6510,187,0.028725038402457756,862,0.13241167434715823,106,756,81,5567
2024,1h,7036,210,0.02984650369528141,1159,0.16472427515633883,136,1023,74,5803
2025,1h,6813,162,0.023778071334214,969,0.14222809335094672,97,872,65,5779
2021,2h,5122,211,0.041194845763373684,392,0.07653260445138618,211,181,0,4730
2022,2h,6466,181,0.027992576554283947,794,0.1227961645530467,150,644,31,5641
2023,2h,6509,202,0.031033952988170226,871,0.1338147180826548,112,759,90,5548
2024,2h,6987,205,0.029340203234578505,1145,0.1638757692858165,128,1017,77,5765
2025,2h,6792,170,0.02502944640753828,963,0.1417844522968198,101,862,69,5760
2021,3h,5067,221,0.043615551608446816,406,0.08012630747977106,221,185,0,4661
2022,3h,6414,178,0.027751792952915497,818,0.12753352042407234,137,681,41,5555
2023,3h,6451,188,0.029142768563013486,934,0.14478375445667338,105,829,83,5434
2024,3h,6940,208,0.029971181556195964,1241,0.17881844380403458,137,1104,71,5628
2025,3h,6709,157,0.023401401102995975,971,0.14473095841407066,91,880,66,5672
